Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Parker J.,BAR,27,6,-,31:45,11,18,7,9,4,9,1,1,-,1,5,2,-,1,-,-,-
Campazzo F.,REA,21,-,6,29:33,5,7,3,3,2,4,9,9,6,-,-,3,1,2,-,-,-
Hernangomez W.,BAR,17,8,3,25:40,6,11,4,8,2,3,3,5,-3,2,6,4,-,-,-,1,-
Musa D.,REA,14,4,7,26:59,5,6,4,4,1,2,3,3,2,-,4,2,1,4,-,-,-
Tavares E.,REA,13,5,1,26:06,4,5,4,5,-,-,5,8,9,1,4,3,-,2,2,-,-
Poirier V.,REA,12,4,1,13:53,3,4,3,4,-,-,6,6,-6,-,4,1,-,2,1,-,-
Satoransky T.,BAR,12,4,5,29:18,4,8,2,4,2,4,2,4,-3,2,2,3,-,2,1,-,-
Yabusele G.,REA,11,5,4,28:51,3,5,1,3,2,2,3,4,7,2,3,2,2,1,-,-,-
Brizuela D.,BAR,7,-,3,11:46,1,6,1,3,-,3,5,6,-5,-,-,-,-,-,-,-,-
Laprovittola N.,BAR,7,1,9,28:14,2,8,1,5,1,3,2,2,2,1,-,3,1,2,-,3,-
Llull S.,REA,7,1,1,17:56,2,7,-,2,2,5,1,1,-,-,1,-,-,-,-,-,-
Rubio R.,BAR,7,1,3,13:02,3,4,2,3,1,1,-,-,-2,1,-,3,-,1,-,-,-
Causeur F.,REA,6,1,-,17:08,2,2,-,-,2,2,-,2,4,-,1,3,-,1,1,-,-
Da Silva O.,BAR,6,3,1,13:50,3,6,3,4,-,2,-,-,4,2,1,2,-,-,-,-,-
Hezonja M.,REA,5,4,2,15:46,2,9,1,6,1,3,-,-,-1,-,4,4,1,2,-,1,-
Vesely J.,BAR,4,1,-,08:48,2,4,2,4,-,-,-,2,-5,-,1,4,-,3,-,-,-
Abalde A.,REA,3,2,-,08:43,1,2,-,-,1,2,-,-,-1,-,2,2,-,-,-,-,-
Abrines A.,BAR,3,6,-,25:05,1,3,-,1,1,2,-,2,2,4,2,3,2,1,1,-,-
Fernandez R.,REA,3,1,-,05:04,1,1,-,-,1,1,-,-,1,-,1,2,-,-,-,-,-
Parra J.,BAR,2,2,-,12:32,1,1,1,1,-,-,-,-,-5,-,2,2,1,-,-,-,-
Rodriguez S.,REA,-,-,4,10:01,-,1,-,1,-,-,-,-,-6,-,-,1,-,-,-,1,-
