Home Score,Category,Away Score
69,Field Goals Attempted,62
37,Field Goals Made,24
53.6%,Field Goals %,38.7%
38,2-Point Field G. Attempted,35
27,2-Point Field Goals Made,17
71.1%,2-Point Field Goals %,48.6%
31,3-Point Field G. Attempted,27
10,3-Point Field Goals Made,7
32.3%,3-Point Field Goals %,25.9%
16,Free Throws Attempted,21
13,Free Throws Made,16
81.3%,Free Throws %,76.2%
16,Offensive Rebounds,17
24,Defensive Rebounds,18
40,Total Rebounds,35
13,Assists,20
6,Blocks,2
9,Turnovers,13
9,Steals,3
20,Personal Fouls,20
