Home Score,Category,Away Score
69,Field Goals Attempted,64
34,Field Goals Made,33
49.3%,Field Goals %,51.6%
38,2-Point Field G. Attempted,37
21,2-Point Field Goals Made,24
55.3%,2-Point Field Goals %,64.9%
31,3-Point Field G. Attempted,27
13,3-Point Field Goals Made,9
41.9%,3-Point Field Goals %,33.3%
24,Free Throws Attempted,20
20,Free Throws Made,14
83.3%,Free Throws %,70%
17,Offensive Rebounds,9
25,Defensive Rebounds,17
42,Total Rebounds,26
18,Assists,15
6,Blocks,1
8,Turnovers,9
6,Steals,4
20,Personal Fouls,20
