Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Dotson D.,OBR,22,4,4,28:13,9,16,7,12,2,4,2,2,21,2,2,2,1,-,-,-,-
Howard J.,OBR,22,2,4,32:15,7,14,3,3,4,11,4,5,13,1,1,1,-,3,-,-,-
Montero J.,MOR,22,2,3,30:00,8,17,5,10,3,7,3,5,-18,1,1,1,1,1,-,3,-
Harding J.,MOR,21,2,-,26:02,8,15,5,6,3,9,2,2,-11,1,1,3,1,1,-,1,-
Timma J.,OBR,18,2,1,26:06,6,8,-,-,6,8,-,-,20,-,2,3,4,1,-,-,-
Blazevic M.,OBR,11,5,-,19:15,4,5,4,5,-,-,3,3,-6,2,3,3,-,1,-,1,-
Okoye S.,MOR,10,2,1,27:50,3,6,1,2,2,4,2,2,-13,-,2,1,-,2,-,-,-
Pustovyi A.,OBR,10,9,1,25:45,4,8,4,7,-,1,2,4,12,3,6,3,1,-,4,-,-
Perez T.,MOR,9,3,-,18:25,2,5,2,4,-,1,5,8,-23,2,1,-,-,-,-,1,-
Maric M.,MOR,8,8,1,22:21,4,4,4,4,-,-,-,-,-17,2,6,3,-,3,-,-,-
Andric M.,MOR,7,-,4,19:29,3,6,2,2,1,4,-,-,11,-,-,2,1,-,-,-,-
Scrubb T.,OBR,6,11,3,36:52,2,9,2,4,-,5,2,2,17,5,6,2,-,1,-,-,-
Zurbriggen F.,OBR,6,2,2,11:47,1,3,-,2,1,1,3,4,-9,-,2,3,-,-,1,-,-
Borg T.,MOR,5,-,-,13:08,2,4,2,3,-,1,1,1,8,-,-,4,-,1,-,-,-
dos Anjos F.,MOR,5,4,1,17:39,2,4,2,4,-,-,1,2,5,1,3,4,-,-,1,1,-
Mendoza R.,OBR,4,2,2,10:20,-,4,-,3,-,1,4,4,-4,1,1,3,-,1,-,-,-
Guerrero R.,OBR,2,4,1,05:53,1,2,1,2,-,-,-,-,3,3,1,-,-,-,1,-,-
Luz R.,MOR,2,3,5,20:13,1,2,1,2,-,-,-,-,7,1,2,2,-,1,-,-,-
Harguindey P.,OBR,-,-,-,00:33,-,-,-,-,-,-,-,-,-2,-,-,-,-,-,-,-,-
Rubio Ninirola J.,MOR,-,-,-,04:53,-,1,-,-,-,1,-,-,-9,-,-,-,-,-,-,-,-
Suarez A.,OBR,-,-,-,03:01,-,-,-,-,-,-,-,-,-5,-,-,-,-,-,-,-,-
