Home Score,Category,Away Score
64,Field Goals Attempted,67
30,Field Goals Made,35
46.9%,Field Goals %,52.2%
45,2-Point Field G. Attempted,39
23,2-Point Field Goals Made,25
51.1%,2-Point Field Goals %,64.1%
19,3-Point Field G. Attempted,28
7,3-Point Field Goals Made,10
36.8%,3-Point Field Goals %,35.7%
19,Free Throws Attempted,28
16,Free Throws Made,21
84.2%,Free Throws %,75%
10,Offensive Rebounds,11
20,Defensive Rebounds,24
30,Total Rebounds,35
16,Assists,24
1,Blocks,2
18,Turnovers,14
8,Steals,12
26,Personal Fouls,22
