Home Score,Category,Away Score
68,Field Goals Attempted,70
31,Field Goals Made,29
45.6%,Field Goals %,41.4%
43,2-Point Field G. Attempted,41
22,2-Point Field Goals Made,18
51.2%,2-Point Field Goals %,43.9%
25,3-Point Field G. Attempted,29
9,3-Point Field Goals Made,11
36%,3-Point Field Goals %,37.9%
20,Free Throws Attempted,12
14,Free Throws Made,10
70%,Free Throws %,83.3%
11,Offensive Rebounds,12
28,Defensive Rebounds,25
39,Total Rebounds,37
22,Assists,20
3,Blocks,2
9,Turnovers,13
9,Steals,4
21,Personal Fouls,20
