Home Score,Category,Away Score
16,Field Goals Attempted,18
7,Field Goals Made,10
43.8%,Field Goals %,55.6%
9,2-Point Field G. Attempted,7
6,2-Point Field Goals Made,5
66.7%,2-Point Field Goals %,71.4%
7,3-Point Field G. Attempted,11
1,3-Point Field Goals Made,5
14.3%,3-Point Field Goals %,45.5%
14,Free Throws Attempted,11
14,Free Throws Made,9
100%,Free Throws %,81.8%
2,Offensive Rebounds,0
6,Defensive Rebounds,4
8,Total Rebounds,4
5,Assists,8
0,Blocks,0
6,Turnovers,1
0,Steals,4
7,Personal Fouls,9
