Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Vesely J.,BAR,24,1,1,24:25,9,13,9,13,-,-,3,4,-8,1,-,1,-,-,-,-,-
Llull S.,REA,18,2,2,20:51,6,12,3,6,3,6,1,1,7,-,2,1,-,-,-,-,-
Musa D.,REA,18,-,2,21:52,5,9,2,3,3,6,5,5,6,-,-,-,-,2,-,-,-
Satoransky T.,BAR,15,3,10,28:03,5,9,3,5,2,4,3,3,5,-,3,1,-,-,-,-,-
Campazzo F.,REA,13,-,2,25:04,4,5,3,4,1,1,4,4,8,-,-,2,1,4,-,-,-
Parker J.,BAR,13,3,1,23:33,4,8,3,6,1,2,2,2,-15,-,3,3,1,2,-,1,-
Hezonja M.,REA,12,6,6,30:25,4,11,3,6,1,5,1,2,7,-,6,-,2,-,-,-,-
Laprovittola N.,BAR,12,3,5,25:00,4,9,3,6,1,3,1,1,-4,-,3,3,-,1,-,1,-
Tavares E.,REA,12,9,-,29:07,3,4,3,4,-,-,6,6,12,4,5,2,-,2,2,-,-
Da Silva O.,BAR,10,3,3,18:26,4,6,4,6,-,-,2,2,4,2,1,5,3,1,-,1,-
Parra J.,BAR,9,-,-,17:27,4,7,3,4,1,3,-,-,4,-,-,3,1,-,-,-,-
Yabusele G.,REA,9,2,-,19:44,3,5,2,3,1,2,2,2,-5,2,-,2,-,-,-,-,-
Rodriguez S.,REA,8,-,-,10:01,3,5,1,1,2,4,-,-,-8,-,-,2,-,3,-,-,-
Hernangomez W.,BAR,6,1,-,15:35,3,3,3,3,-,-,-,-,-,-,1,-,2,1,-,-,-
Poirier V.,REA,4,3,-,10:26,2,5,2,4,-,1,-,-,-4,1,2,1,-,-,-,-,-
Rubio R.,BAR,4,5,1,16:22,1,4,-,3,1,1,1,2,-14,-,5,-,-,1,-,-,-
Abalde A.,REA,3,2,1,04:45,1,1,-,-,1,1,-,-,3,-,2,2,-,-,-,-,-
Abrines A.,BAR,3,-,1,18:03,1,2,-,-,1,2,-,-,-2,-,-,4,3,2,-,-,-
Causeur F.,REA,3,3,1,12:41,1,4,1,1,-,3,1,2,4,1,2,3,1,-,1,-,-
Fernandez R.,REA,3,4,3,15:00,1,2,-,-,1,2,-,-,10,1,3,3,1,2,-,-,-
Kalinic N.,BAR,2,2,-,13:01,1,2,1,2,-,-,-,-,-10,-,2,1,-,1,-,-,-
