Home Score,Category,Away Score
12,Field Goals Attempted,26
7,Field Goals Made,9
58.3%,Field Goals %,34.6%
6,2-Point Field G. Attempted,19
4,2-Point Field Goals Made,5
66.7%,2-Point Field Goals %,26.3%
6,3-Point Field G. Attempted,7
3,3-Point Field Goals Made,4
50%,3-Point Field Goals %,57.1%
4,Free Throws Attempted,2
4,Free Throws Made,1
100%,Free Throws %,50%
7,Offensive Rebounds,0
0,Defensive Rebounds,16
7,Total Rebounds,16
14,Assists,12
0,Blocks,0
6,Turnovers,7
3,Steals,0
15,Personal Fouls,14
