Home Score,Category,Away Score
66,Field Goals Attempted,59
28,Field Goals Made,26
42.4%,Field Goals %,44.1%
35,2-Point Field G. Attempted,29
21,2-Point Field Goals Made,15
60%,2-Point Field Goals %,51.7%
31,3-Point Field G. Attempted,30
7,3-Point Field Goals Made,11
22.6%,3-Point Field Goals %,36.7%
20,Free Throws Attempted,13
16,Free Throws Made,8
80%,Free Throws %,61.5%
11,Offensive Rebounds,10
24,Defensive Rebounds,29
35,Total Rebounds,39
13,Assists,15
3,Blocks,6
14,Turnovers,21
11,Steals,9
19,Personal Fouls,24
