Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Iroegbu I.,BAS,21,1,4,19:35,6,13,5,8,1,5,8,8,15,-,1,1,1,1,-,1,-
Kullamae K.,BIL,14,1,2,26:50,5,16,3,8,2,8,2,2,-4,-,1,3,-,5,1,1,-
Renfroe A.,BIL,13,3,3,18:39,2,6,1,5,1,1,8,8,-12,1,2,-,-,2,-,-,-
York G.,BAS,13,1,1,25:43,4,15,-,5,4,10,1,2,-3,1,-,3,2,1,-,2,-
Reyes A.,BIL,12,4,-,25:16,5,8,3,4,2,4,-,-,-3,-,4,2,-,2,-,-,-
Hlinason T.,BIL,10,7,-,17:34,4,5,4,5,-,-,2,3,-9,2,5,1,-,1,-,-,-
Pantzar M. J.,BIL,10,7,5,30:31,3,7,3,6,-,1,4,4,-7,3,4,1,1,1,-,-,-
Fjellerup M.,BAS,9,4,-,15:59,2,5,1,3,1,2,4,6,10,3,1,3,2,-,-,-,-
Birch K.,BAS,8,3,2,29:16,3,6,3,6,-,-,2,4,8,1,2,2,4,2,2,-,-
Susinskas M.,BAS,8,3,1,21:33,3,5,1,3,2,2,-,-,15,1,2,2,3,1,-,-,-
Pons Y.,BAS,7,4,-,18:27,2,5,1,1,1,4,2,2,-2,1,3,2,-,-,-,-,-
Goloman G.,BAS,6,5,-,09:01,3,6,3,5,-,1,-,-,5,4,1,3,-,-,1,1,-
Killeya-Jones S.,BIL,6,3,2,22:26,2,4,2,3,-,1,2,4,-4,2,1,3,-,2,3,1,-
Marcos J.,BAS,4,4,3,19:59,1,6,1,5,-,1,2,2,17,-,4,4,1,1,-,-,-
De Ridder T.,BIL,3,5,-,17:16,1,4,-,2,1,2,-,-,1,1,4,2,1,2,-,-,-
Martinez S.,BAS,3,6,-,25:11,1,4,-,2,1,2,-,-,-,1,5,-,1,1,-,-,-
Colom Q.,BAS,2,1,5,13:33,1,6,1,3,-,3,-,-,-,-,1,3,1,-,-,-,-
Andersson D.,BIL,-,1,-,09:46,-,1,-,-,-,1,-,-,-5,-,1,1,-,1,-,-,-
Barandalla U.,BIL,-,-,-,00:53,-,-,-,-,-,-,-,-,-2,-,-,-,-,-,-,-,-
Rabaseda X.,BIL,-,5,1,17:45,-,1,-,1,-,-,-,-,-4,-,5,4,-,3,-,-,-
Rigo T.,BIL,-,1,-,10:35,-,3,-,1,-,2,-,-,-9,-,1,1,-,1,-,-,-
Sorolla Menasanch J.,BAS,-,-,-,01:43,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tsalmpouris G.,BIL,-,-,-,02:29,-,1,-,-,-,1,-,-,-7,-,-,1,-,1,-,-,-
