Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Hands J.,PAL,25,4,2,25:41,10,16,6,9,4,7,1,2,11,1,3,1,1,2,-,-,-
De Ridder T.,BIL,21,11,1,28:58,8,15,7,10,1,5,4,5,-9,6,5,2,1,1,-,-,-
Benite V.,PAL,13,2,1,16:08,5,6,3,3,2,3,1,1,1,-,2,1,-,1,-,-,-
Hlinason T.,BIL,13,6,-,21:28,6,6,6,6,-,-,1,1,-13,3,3,2,-,-,-,-,-
Killeya-Jones S.,BIL,13,3,1,18:32,3,8,3,6,-,2,7,9,-4,1,2,1,-,3,-,-,-
Pasecniks A.,PAL,12,8,1,23:03,4,8,4,8,-,-,4,4,11,3,5,3,-,1,-,-,-
Frankamp C.,PAL,11,1,1,17:11,4,8,3,6,1,2,2,3,15,-,1,4,-,-,-,-,-
Kullamae K.,BIL,10,3,3,28:03,5,11,5,9,-,2,-,-,-3,1,2,3,2,2,-,-,-
Pineiro I.,PAL,10,1,2,22:47,4,7,2,5,2,2,-,-,4,-,1,2,1,1,-,-,-
Pantzar M. J.,BIL,9,3,3,27:55,2,11,1,5,1,6,4,4,-10,-,3,1,-,-,1,-,-
Van Der Vuurst K.,PAL,9,4,10,19:25,4,7,3,4,1,3,-,-,12,1,3,3,-,2,-,1,-
Gonzalez C.,PAL,4,2,-,08:58,2,4,2,4,-,-,-,-,1,1,1,2,-,1,-,-,-
Ortega C.,PAL,4,3,1,15:18,2,3,2,2,-,1,-,-,15,2,1,2,1,-,-,-,-
Rigo T.,BIL,4,-,-,11:04,1,3,1,2,-,1,2,2,-17,-,-,2,-,-,-,-,-
Barrientos M.,PAL,3,-,-,01:54,1,1,1,1,-,-,1,1,-,-,-,-,-,-,-,-,-
Kamba M.,PAL,3,3,1,23:16,1,1,-,-,1,1,-,-,12,-,3,4,2,-,1,-,-
Renfroe A.,BIL,3,3,3,17:40,1,6,1,3,-,3,1,2,-10,2,1,3,-,3,-,1,-
Reyes A.,BIL,3,5,-,20:51,1,5,-,-,1,5,-,-,-13,2,3,1,-,2,-,-,-
Andersson D.,BIL,2,1,-,11:02,1,2,1,1,-,1,-,-,-8,-,1,1,-,-,1,1,-
Rabaseda X.,BIL,2,1,-,14:27,1,3,1,2,-,1,-,-,2,1,-,2,2,1,-,-,-
Ubal A.,PAL,2,3,2,18:20,1,2,1,1,-,1,-,-,-,-,3,3,2,1,1,-,-
Haarms M.,PAL,1,1,-,07:59,-,4,-,4,-,-,1,2,3,-,1,-,-,1,-,1,-
