Home Score,Category,Away Score
65,Field Goals Attempted,65
33,Field Goals Made,26
50.8%,Field Goals %,40%
36,2-Point Field G. Attempted,41
24,2-Point Field Goals Made,19
66.7%,2-Point Field Goals %,46.3%
29,3-Point Field G. Attempted,24
9,3-Point Field Goals Made,7
31%,3-Point Field Goals %,29.2%
13,Free Throws Attempted,19
8,Free Throws Made,13
61.5%,Free Throws %,68.4%
8,Offensive Rebounds,10
31,Defensive Rebounds,26
39,Total Rebounds,36
18,Assists,14
3,Blocks,2
17,Turnovers,17
11,Steals,11
19,Personal Fouls,17
