Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Watt M.,ZAR,15,5,1,24:13,6,13,6,11,-,2,3,5,2,3,2,-,-,2,2,-,-
Carter T.,UNI,13,1,1,14:44,5,6,2,2,3,4,-,-,9,-,1,-,-,1,-,-,-
Djedovic N.,UNI,13,1,2,19:43,4,7,2,2,2,5,3,6,-1,-,1,1,2,1,-,-,-
Barreiro J.,UNI,9,4,1,16:15,2,4,1,1,1,3,4,4,-2,-,4,3,-,1,1,-,-
Ejim M.,UNI,9,2,-,20:12,4,4,4,4,-,-,1,1,11,1,1,3,1,1,1,-,-
Taylor K.,UNI,9,3,1,14:15,4,9,3,6,1,3,-,-,11,2,1,-,1,1,-,-,-
Kravish D.,UNI,8,5,1,14:32,4,6,4,6,-,-,-,-,12,1,4,1,-,1,-,-,-
Sulejmanovic E.,ZAR,8,5,-,19:56,2,7,1,3,1,4,3,4,6,1,4,1,1,1,-,1,-
Bell-Haynes T.,ZAR,7,1,1,24:30,3,8,2,6,1,2,-,-,-20,-,1,1,1,5,-,1,-
Cuevas D.,ZAR,7,4,4,15:30,2,6,-,3,2,3,1,2,9,-,4,3,1,3,-,1,-
Delany F.,ZAR,7,3,1,20:04,3,7,3,6,-,1,1,1,-17,1,2,1,1,2,-,-,-
Kalinoski T.,UNI,7,3,2,16:56,3,7,2,3,1,4,-,-,5,1,2,2,3,3,-,-,-
Langarita L.,ZAR,7,3,3,16:17,3,5,2,4,1,1,-,-,14,2,1,1,-,1,-,-,-
Smith M.,ZAR,7,2,-,18:51,2,3,1,1,1,2,2,3,-14,-,2,1,-,-,-,-,-
Kravic D.,ZAR,6,4,-,15:47,3,5,3,5,-,-,-,-,-13,-,4,2,-,-,-,-,-
Perry K.,UNI,6,2,3,17:55,3,11,3,6,-,5,-,2,1,-,2,3,2,5,-,1,-
Diaz A.,UNI,5,6,5,20:12,2,4,1,1,1,3,-,-,10,1,5,3,-,-,-,-,-
Yusta S.,ZAR,5,3,4,25:21,1,5,1,2,-,3,3,4,-,1,2,4,5,1,-,-,-
McFadden T.,ZAR,3,-,1,13:36,1,6,-,-,1,6,-,-,-9,-,-,2,2,1,-,-,-
Lima A.,UNI,2,3,-,10:13,1,2,1,2,-,-,-,-,-10,1,2,-,-,2,-,1,-
Sima Y.,UNI,2,4,2,16:51,1,2,1,2,-,-,-,-,8,-,4,2,-,-,1,-,-
Gonzalez M.,ZAR,-,-,-,05:55,-,-,-,-,-,-,-,-,-13,-,-,1,-,-,-,-,-
Thomas W.,UNI,-,2,2,18:12,-,3,-,1,-,2,-,-,1,1,1,1,1,1,-,-,-
