Home Score,Category,Away Score
57,Field Goals Attempted,58
26,Field Goals Made,29
45.6%,Field Goals %,50%
34,2-Point Field G. Attempted,29
19,2-Point Field Goals Made,19
55.9%,2-Point Field Goals %,65.5%
23,3-Point Field G. Attempted,29
7,3-Point Field Goals Made,10
30.4%,3-Point Field Goals %,34.5%
22,Free Throws Attempted,21
19,Free Throws Made,18
86.4%,Free Throws %,85.7%
11,Offensive Rebounds,11
19,Defensive Rebounds,21
30,Total Rebounds,32
15,Assists,23
3,Blocks,2
12,Turnovers,10
4,Steals,7
25,Personal Fouls,17
