Home Score,Category,Away Score
64,Field Goals Attempted,56
26,Field Goals Made,23
40.6%,Field Goals %,41.1%
33,2-Point Field G. Attempted,29
15,2-Point Field Goals Made,14
45.5%,2-Point Field Goals %,48.3%
31,3-Point Field G. Attempted,27
11,3-Point Field Goals Made,9
35.5%,3-Point Field Goals %,33.3%
11,Free Throws Attempted,21
8,Free Throws Made,18
72.7%,Free Throws %,85.7%
8,Offensive Rebounds,8
24,Defensive Rebounds,31
32,Total Rebounds,39
15,Assists,18
2,Blocks,7
7,Turnovers,13
9,Steals,5
18,Personal Fouls,15
