Home Score,Category,Away Score
60,Field Goals Attempted,53
31,Field Goals Made,17
51.7%,Field Goals %,32.1%
32,2-Point Field G. Attempted,33
20,2-Point Field Goals Made,12
62.5%,2-Point Field Goals %,36.4%
28,3-Point Field G. Attempted,20
11,3-Point Field Goals Made,5
39.3%,3-Point Field Goals %,25%
11,Free Throws Attempted,18
5,Free Throws Made,15
45.5%,Free Throws %,83.3%
9,Offensive Rebounds,10
26,Defensive Rebounds,22
35,Total Rebounds,32
14,Assists,10
5,Blocks,1
13,Turnovers,17
6,Steals,7
24,Personal Fouls,21
