Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Parker J.,BAR,22,3,-,24:00,8,11,4,6,4,5,2,2,7,-,3,3,2,2,-,1,-
Carter T.,UNI,16,-,3,19:34,6,8,4,4,2,4,2,3,8,-,-,3,-,2,-,-,-
Brizuela D.,BAR,14,2,2,15:31,5,6,1,1,4,5,-,-,9,-,2,3,-,2,-,-,-
Rubio R.,BAR,13,2,4,19:20,2,6,1,2,1,4,8,9,-8,1,1,2,-,1,-,-,-
Kalinoski T.,UNI,12,1,1,22:50,5,9,3,4,2,5,-,-,2,-,1,4,1,2,-,-,-
Taylor K.,UNI,11,1,4,21:54,5,7,4,4,1,3,-,-,5,1,-,2,1,3,-,-,-
Kravish D.,UNI,10,7,2,20:25,5,10,5,9,-,1,-,-,-3,5,2,-,-,1,1,-,-
Hernangomez W.,BAR,9,4,-,15:07,3,11,3,11,-,-,3,4,-19,2,2,1,-,1,-,1,-
Osetkowski D.,UNI,9,7,2,17:38,4,9,3,6,1,3,-,-,-7,1,6,1,2,-,-,1,-
Perry K.,UNI,9,2,6,21:43,3,11,2,7,1,4,2,2,-5,-,2,3,2,-,-,-,-
Thomas W.,UNI,9,6,-,20:16,4,6,3,5,1,1,-,-,6,2,4,-,1,-,1,-,-
Vesely J.,BAR,9,4,4,24:53,4,10,4,10,-,-,1,1,18,2,2,2,-,-,1,-,-
Jokubaitis R.,BAR,8,1,1,10:46,3,3,2,2,1,1,1,2,-1,1,-,1,-,-,-,-,-
Lima A.,UNI,6,3,2,10:20,3,4,3,4,-,-,-,-,10,2,1,-,-,-,-,-,-
Kalinic N.,BAR,5,4,2,18:36,2,2,2,2,-,-,1,2,9,-,4,1,-,-,-,-,-
Ejim M.,UNI,4,3,2,12:53,2,6,2,3,-,3,-,-,-6,-,3,2,-,-,1,-,-
Satoransky T.,BAR,4,3,6,21:07,-,5,-,1,-,4,4,4,7,-,3,1,-,2,-,-,-
Abrines A.,BAR,3,1,1,16:13,1,2,-,1,1,1,-,-,-7,-,1,2,-,-,-,-,-
Barreiro J.,UNI,2,2,-,09:15,1,2,1,1,-,1,-,2,3,1,1,3,-,-,-,-,-
Da Silva O.,BAR,2,1,-,16:00,1,1,1,1,-,-,-,-,-8,-,1,-,1,-,-,-,-
Djedovic N.,UNI,2,4,2,13:57,1,4,1,3,-,1,-,-,-2,-,4,1,-,-,-,-,-
Laprovittola N.,BAR,2,2,2,13:16,1,1,1,1,-,-,-,-,-9,-,2,1,3,2,-,-,-
Sima Y.,UNI,2,2,1,09:15,1,4,1,4,-,-,-,-,-6,2,-,4,-,-,-,-,-
Parra J.,BAR,-,1,-,05:11,-,1,-,-,-,1,-,-,-3,-,1,-,-,-,-,-,-
