Home Score,Category,Away Score
63,Field Goals Attempted,70
29,Field Goals Made,31
46%,Field Goals %,44.3%
33,2-Point Field G. Attempted,44
20,2-Point Field Goals Made,21
60.6%,2-Point Field Goals %,47.7%
30,3-Point Field G. Attempted,26
9,3-Point Field Goals Made,10
30%,3-Point Field Goals %,38.5%
23,Free Throws Attempted,14
17,Free Throws Made,8
73.9%,Free Throws %,57.1%
10,Offensive Rebounds,21
18,Defensive Rebounds,23
28,Total Rebounds,44
16,Assists,22
6,Blocks,3
6,Turnovers,16
11,Steals,3
17,Personal Fouls,24
