Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Lammers B.,GRC,14,3,-,22:37,-,-,4,5,1,2,3,3,4,1,2,3,2,1,3,-,-
Cheatham K.,GRA,13,6,2,36:38,-,-,2,6,2,6,3,4,8,-,6,1,2,3,-,-,-
Rousselle J.,GRA,13,2,4,20:18,-,-,1,4,2,4,3,3,18,-,2,3,-,-,-,-,-
Valtonen E.,GRA,12,6,-,26:35,-,-,2,3,2,3,2,2,12,2,4,4,-,-,1,-,-
Dime M.,GRA,9,3,-,10:46,-,-,3,4,-,-,3,3,5,3,-,2,-,2,1,-,-
Brussino N.,GRC,8,7,1,25:28,-,-,1,3,2,10,-,-,-18,3,4,5,-,1,-,-,-
Pelos P.,GRC,8,5,2,23:35,-,-,1,3,2,8,-,-,11,-,5,2,1,-,-,-,-
Costa Martinez L.,GRA,7,1,1,20:06,-,-,2,4,-,3,3,4,-10,-,1,2,-,3,-,-,-
Kljajic J.,GRC,7,1,2,24:10,-,-,2,3,1,3,-,-,-6,-,1,1,2,-,-,-,-
Kramer D.,GRA,7,5,-,24:31,-,-,1,3,1,2,2,4,19,1,4,2,1,1,-,-,-
Slaughter A. J.,GRC,7,1,2,11:34,-,-,-,2,2,4,1,3,-1,-,1,4,-,-,-,-,-
Shurna J.,GRC,6,5,1,21:46,-,-,3,5,-,2,-,-,-21,1,4,2,2,3,-,-,-
Wiley J.,GRA,6,3,-,20:30,-,-,2,2,-,1,-,-,-,1,2,2,-,1,-,-,-
Albicy A.,GRC,4,-,3,27:48,-,-,1,1,-,1,2,2,-,-,-,3,1,2,-,-,-
Happ E.,GRC,4,6,1,12:02,-,-,2,8,-,-,-,2,-8,2,4,3,1,-,-,-,-
Bassas F.,GRC,3,-,2,12:12,-,-,-,-,1,3,-,-,-7,-,-,1,-,-,-,-,-
Salvo M.,GRC,3,3,1,18:48,-,-,-,1,1,2,-,-,11,-,3,1,-,1,-,-,-
Bamforth S.,GRA,2,4,1,19:51,-,-,-,2,-,4,2,2,-10,2,2,2,1,1,-,-,-
Felicio C.,GRA,2,5,-,12:04,-,-,-,1,-,-,2,2,1,1,4,1,-,3,1,-,-
Iriarte D.,GRA,-,-,-,0:02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tomas P.,GRA,-,2,-,8:39,-,-,-,-,-,1,-,-,-8,-,2,1,-,1,-,-,-
