Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Guy K.,TEN,31,3,2,27:58,11,21,6,11,5,10,4,6,14,1,2,1,1,-,-,1,-
Huertas M.,TEN,17,4,7,25:59,6,12,3,6,3,6,2,2,-2,1,3,1,-,3,-,-,-
Abrines A.,BAR,16,1,1,17:30,5,7,-,1,5,6,1,1,-3,1,-,-,-,-,-,-,-
Parker J.,BAR,16,2,-,20:04,6,8,3,5,3,3,1,1,-3,-,2,3,-,-,-,-,-
Guerra F.,TEN,11,8,2,18:53,5,7,5,7,-,-,1,3,11,3,5,3,1,1,-,-,-
Laprovittola N.,BAR,9,-,2,14:45,3,6,1,2,2,4,1,1,-,-,-,3,1,-,-,-,-
Vesely J.,BAR,8,2,-,15:48,4,5,4,5,-,-,-,-,-5,-,2,3,-,-,1,-,-
Parra J.,BAR,7,5,2,18:32,2,7,1,3,1,4,2,2,10,1,4,3,-,1,1,-,-
Cook E.,TEN,6,2,1,21:10,3,4,3,4,-,-,-,-,-3,1,1,1,-,1,-,-,-
Lopez A.,TEN,6,-,-,04:48,2,3,-,-,2,3,-,-,-5,-,-,2,-,-,-,-,-
Satoransky T.,BAR,6,-,5,19:21,3,7,3,6,-,1,-,-,-1,-,-,-,1,2,-,-,-
Da Silva O.,BAR,5,5,-,16:05,2,4,2,3,-,1,1,1,8,-,5,-,-,-,1,-,-
Kalinic N.,BAR,5,2,1,05:42,2,3,1,2,1,1,-,-,-7,-,2,2,-,-,-,-,-
Hernangomez W.,BAR,4,5,1,07:56,2,3,2,3,-,-,-,2,-,4,1,-,-,-,-,1,-
Stevic O.,TEN,3,3,-,08:42,1,3,1,3,-,-,1,1,-12,2,1,-,-,-,-,1,-
Vicedo E.,TEN,3,1,-,13:46,1,1,-,-,1,1,-,-,-6,-,1,-,1,-,-,-,-
Abromaitis T.,TEN,2,4,1,19:04,-,5,-,2,-,3,2,2,5,1,3,3,-,-,-,2,-
Jokubaitis R.,BAR,2,-,1,02:33,1,1,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-
Rubio R.,BAR,2,1,7,13:29,1,4,1,2,-,2,-,-,2,-,1,-,1,3,-,-,-
Brizuela D.,BAR,-,2,1,12:25,-,1,-,1,-,-,-,-,4,1,1,2,-,2,-,-,-
Diop I.,TEN,-,-,3,05:15,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-
Fitipaldo B.,TEN,-,-,-,04:00,-,3,-,1,-,2,-,-,-3,-,-,-,-,1,-,-,-
Salin S.,TEN,-,-,-,02:54,-,1,-,-,-,1,-,-,-4,-,-,-,-,-,-,-,-
Sastre J.,TEN,-,2,-,11:41,-,1,-,-,-,1,-,-,-,-,2,2,-,-,-,-,-
