Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Hezonja M.,REA,20,6,1,25:11,6,10,1,2,5,8,3,4,14,1,5,1,1,-,-,-,-
Tomic A.,JOV,19,6,3,23:21,8,12,8,12,-,-,3,5,6,3,3,2,-,1,-,-,-
Tavares E.,REA,14,8,-,20:32,5,5,5,5,-,-,4,6,5,4,4,2,-,2,3,-,-
Andrews A.,JOV,13,3,3,24:16,3,10,-,3,3,7,4,4,-11,-,3,3,-,2,1,-,-
Deck G.,REA,13,3,4,17:35,5,8,3,3,2,5,1,2,-5,1,2,1,2,1,-,-,-
Kraag Y.,JOV,13,2,1,15:47,4,5,-,-,4,5,1,2,-17,1,1,4,1,-,-,-,-
Llull S.,REA,13,1,2,19:45,4,11,2,4,2,7,3,5,1,-,1,1,-,-,-,-,-
Musa D.,REA,12,1,3,17:47,4,9,3,5,1,4,3,4,10,-,1,3,1,-,-,-,-
Feliz A.,JOV,10,3,6,21:37,3,10,3,9,-,1,4,4,15,1,2,5,1,-,-,1,-
Ruzic M.,JOV,9,2,1,19:10,3,6,-,1,3,5,-,-,-14,1,1,4,2,-,-,1,-
Evans S.,JOV,8,3,2,21:43,3,11,2,4,1,7,1,1,-16,-,3,2,-,2,-,2,-
Alocen C.,REA,6,-,2,15:05,2,3,1,2,1,1,1,2,7,-,-,3,1,2,-,1,-
Ribas P.,JOV,6,1,2,17:39,2,5,-,3,2,2,-,-,14,-,1,-,-,-,-,-,-
Brodziansky V.,JOV,5,3,-,22:12,2,4,1,1,1,3,-,-,15,-,3,-,1,-,-,-,-
Cook T.,JOV,5,1,2,11:51,2,2,2,2,-,-,1,2,-9,-,1,2,1,-,-,-,-
Rodriguez S.,REA,5,1,-,14:53,2,6,1,4,1,2,-,-,8,-,1,3,-,1,-,-,-
Abalde A.,REA,4,4,4,20:09,2,5,2,4,-,1,-,-,-3,1,3,2,-,-,-,-,-
Causeur F.,REA,3,1,-,08:40,1,2,-,-,1,2,-,-,-6,-,1,1,-,1,-,-,-
Yabusele G.,REA,3,1,2,14:16,1,3,-,1,1,2,-,-,-8,-,1,2,-,-,1,-,-
Busquets J.,JOV,2,2,1,06:59,1,1,1,1,-,-,-,-,6,-,2,1,-,1,-,-,-
Poirier V.,REA,2,9,2,19:28,1,4,1,4,-,-,-,-,-2,4,5,2,-,1,1,-,-
Prey R.,JOV,2,2,-,03:26,-,-,-,-,-,-,2,2,-4,2,-,2,-,2,-,-,-
Fernandez R.,REA,-,1,-,06:39,-,2,-,2,-,-,-,-,-6,-,1,-,-,-,-,-,-
Vives G.,JOV,-,3,-,11:59,-,1,-,1,-,-,-,-,-,2,1,-,-,1,-,-,-
