Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Tomic A.,JOV,25,8,-,27:00,8,11,7,10,1,1,8,10,12,3,5,1,-,2,-,-,-
Caupain T.,MUR,17,4,2,24:00,5,12,2,4,3,8,4,5,15,-,4,2,-,1,-,-,-
Feliz A.,JOV,16,4,3,24:23,5,14,5,11,-,3,6,6,-1,2,2,3,3,1,-,2,-
Cook T.,JOV,12,6,-,19:04,5,7,5,7,-,-,2,2,-8,2,4,2,-,3,1,-,-
Ennis D.,MUR,12,3,3,19:52,4,8,2,4,2,4,2,4,-1,1,2,1,2,4,-,-,-
Sleva D.,MUR,11,10,2,29:24,3,7,3,5,-,2,5,7,9,4,6,1,-,1,-,-,-
Todorovic M.,MUR,11,6,1,26:15,4,10,3,5,1,5,2,3,11,1,5,4,1,-,3,1,-
Radebaugh J.,MUR,8,2,-,19:56,2,5,1,4,1,1,3,5,8,1,1,3,-,2,-,-,-
Evans S.,JOV,7,1,1,14:16,3,8,2,5,1,3,-,-,-7,-,1,1,-,-,1,-,-
Andrews A.,JOV,5,1,2,22:39,1,7,-,4,1,3,2,2,-4,-,1,4,2,1,-,-,-
Birgander S.,MUR,5,2,1,12:45,2,3,2,3,-,-,1,1,-4,1,1,1,-,-,-,-,-
Brodziansky V.,JOV,5,4,1,22:13,1,2,1,2,-,-,3,4,-14,1,3,4,1,1,-,-,-
Hakanson L.,MUR,5,1,3,12:46,1,3,-,-,1,3,2,2,-7,-,1,2,-,1,-,-,-
Sant-Roos H.,MUR,5,6,2,23:30,2,6,2,4,-,2,1,1,12,1,5,3,-,1,-,1,-
Radovic N.,MUR,4,1,-,07:46,2,3,2,3,-,-,-,-,-1,1,-,1,1,1,-,-,-
Vives G.,JOV,2,3,1,25:09,-,4,-,2,-,2,2,2,-10,-,3,2,1,3,-,-,-
Kurucs R.,MUR,1,2,-,18:08,-,3,-,2,-,1,1,2,-6,2,-,2,2,-,-,1,-
Busquets J.,JOV,-,3,-,11:16,-,2,-,1,-,1,-,-,-3,2,1,2,-,-,-,1,-
Kraag Y.,JOV,-,-,1,14:05,-,5,-,3,-,2,-,-,2,-,-,2,-,-,-,-,-
Kurucs A.,MUR,-,-,-,02:38,-,2,-,-,-,2,-,-,-1,-,-,-,1,-,-,-,-
Ribas P.,JOV,-,2,2,06:48,-,-,-,-,-,-,-,-,2,-,2,-,-,1,-,-,-
Ruzic M.,JOV,-,2,-,10:07,-,1,-,-,-,1,-,-,-4,2,-,4,1,-,1,-,-
