Home Score,Category,Away Score
72,Field Goals Attempted,60
43,Field Goals Made,32
59.7%,Field Goals %,53.3%
51,2-Point Field G. Attempted,30
31,2-Point Field Goals Made,19
60.8%,2-Point Field Goals %,63.3%
21,3-Point Field G. Attempted,30
12,3-Point Field Goals Made,13
57.1%,3-Point Field Goals %,43.3%
11,Free Throws Attempted,24
10,Free Throws Made,15
90.9%,Free Throws %,62.5%
4,Offensive Rebounds,7
22,Defensive Rebounds,23
26,Total Rebounds,30
23,Assists,21
2,Blocks,3
9,Turnovers,16
10,Steals,1
26,Personal Fouls,16
