Home Score,Category,Away Score
24,Field Goals Attempted,28
9,Field Goals Made,10
37.5%,Field Goals %,35.7%
12,2-Point Field G. Attempted,20
8,2-Point Field Goals Made,8
66.7%,2-Point Field Goals %,40%
12,3-Point Field G. Attempted,8
1,3-Point Field Goals Made,2
8.3%,3-Point Field Goals %,25%
11,Free Throws Attempted,15
6,Free Throws Made,9
54.5%,Free Throws %,60%
2,Offensive Rebounds,8
12,Defensive Rebounds,10
14,Total Rebounds,18
14,Assists,11
1,Blocks,1
5,Turnovers,8
1,Steals,4
17,Personal Fouls,11
