Home Score,Category,Away Score
69,Field Goals Attempted,70
27,Field Goals Made,28
39.1%,Field Goals %,40%
39,2-Point Field G. Attempted,52
19,2-Point Field Goals Made,24
48.7%,2-Point Field Goals %,46.2%
30,3-Point Field G. Attempted,18
8,3-Point Field Goals Made,4
26.7%,3-Point Field Goals %,22.2%
11,Free Throws Attempted,17
10,Free Throws Made,15
90.9%,Free Throws %,88.2%
14,Offensive Rebounds,17
24,Defensive Rebounds,26
38,Total Rebounds,43
15,Assists,13
4,Blocks,2
12,Turnovers,11
5,Steals,7
18,Personal Fouls,18
