Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Blazevic M.,OBR,14,11,1,27:25,5,8,5,8,-,-,4,5,14,3,8,3,1,1,-,1,-
De Ridder T.,BIL,13,8,2,21:51,5,8,5,6,-,2,3,3,-14,4,4,3,-,1,-,-,-
Dotson D.,OBR,13,3,3,28:25,6,14,5,11,1,3,-,-,11,2,1,3,2,4,-,1,-
Pustovyi A.,OBR,13,6,1,30:29,4,11,4,10,-,1,5,6,7,3,3,2,-,-,1,-,-
Scrubb T.,OBR,10,7,1,29:10,5,10,5,8,-,2,-,-,11,3,4,3,1,2,-,-,-
Killeya-Jones S.,BIL,9,5,3,19:03,3,12,3,11,-,1,3,3,-10,3,2,3,-,2,1,-,-
Reyes A.,BIL,9,-,-,21:05,4,9,3,4,1,5,-,-,-13,-,-,1,1,-,-,-,-
Hornsby K.,BIL,8,1,-,18:55,3,9,1,3,2,6,-,-,10,1,-,-,-,-,1,-,-
Howard J.,OBR,8,2,3,25:56,1,14,1,7,-,7,6,6,5,1,1,-,-,1,-,1,-
Pantzar M. J.,BIL,8,8,4,25:20,2,4,1,2,1,2,3,3,12,2,6,4,1,3,1,-,-
Smith A.,BIL,8,2,3,21:28,3,10,1,3,2,7,-,-,5,-,2,-,-,2,-,1,-
Andersson D.,BIL,6,4,-,18:09,2,3,-,-,2,3,-,-,11,-,4,2,-,-,-,-,-
Zurbriggen F.,OBR,6,4,2,12:31,2,2,-,-,2,2,-,-,-8,2,2,3,-,1,-,-,-
Hlinason T.,BIL,5,5,1,20:57,2,5,2,5,-,-,1,2,7,-,5,2,2,1,1,1,-
Guerrero R.,OBR,4,3,-,05:13,2,2,2,2,-,-,-,-,1,1,2,3,-,1,-,-,-
Mendoza R.,OBR,4,1,2,19:06,2,4,2,4,-,-,-,-,-1,-,1,-,1,-,1,-,-
Renfroe A.,BIL,4,3,2,18:21,2,3,2,3,-,-,-,-,-18,2,1,1,-,2,-,-,-
Suarez A.,OBR,3,2,-,16:53,1,2,-,1,1,1,-,-,-16,-,2,-,-,-,-,-,-
Kullamae K.,BIL,2,-,-,14:51,1,6,1,2,-,4,-,-,-5,-,-,2,1,-,-,-,-
Strelnieks J.,OBR,-,-,-,04:52,-,3,-,1,-,2,-,-,-9,-,-,1,1,1,-,1,-
