Home Score,Category,Away Score
62,Field Goals Attempted,60
26,Field Goals Made,23
41.9%,Field Goals %,38.3%
32,2-Point Field G. Attempted,30
15,2-Point Field Goals Made,12
46.9%,2-Point Field Goals %,40%
30,3-Point Field G. Attempted,30
11,3-Point Field Goals Made,11
36.7%,3-Point Field Goals %,36.7%
20,Free Throws Attempted,26
12,Free Throws Made,24
60%,Free Throws %,92.3%
6,Offensive Rebounds,13
22,Defensive Rebounds,29
28,Total Rebounds,42
16,Assists,14
1,Blocks,2
11,Turnovers,13
4,Steals,4
29,Personal Fouls,22
