Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Dotson D.,OBR,20,3,1,26:00,7,12,1,3,6,9,-,-,2,-,3,4,2,2,-,-,-
Pineiro I.,PAL,18,1,1,20:29,6,10,5,9,1,1,5,5,-12,-,1,3,-,-,-,1,-
Howard J.,OBR,17,5,1,29:08,4,13,-,5,4,8,5,5,17,1,4,-,-,1,-,-,-
Frankamp C.,PAL,14,3,3,22:42,4,11,1,5,3,6,3,5,3,-,3,1,-,1,1,-,-
Hands J.,PAL,14,6,1,22:35,5,12,2,6,3,6,1,2,-9,-,6,1,1,2,-,-,-
Pustovyi A.,OBR,12,12,2,26:22,6,9,6,9,-,-,-,-,6,4,8,3,-,3,1,-,-
Scrubb T.,OBR,11,2,2,27:44,1,7,1,4,-,3,9,11,-2,1,1,1,1,1,-,-,-
Blazevic M.,OBR,10,7,-,24:10,2,5,2,5,-,-,6,6,12,4,3,5,1,4,-,-,-
Kamba M.,PAL,9,5,1,21:55,3,5,1,1,2,4,1,2,2,2,3,5,-,-,-,1,-
Benite V.,PAL,5,2,3,24:42,2,8,1,1,1,7,-,-,1,1,1,3,-,1,-,-,-
Ubal A.,PAL,5,-,-,15:33,2,4,1,2,1,2,-,-,3,-,-,1,-,-,-,-,-
Zurbriggen F.,OBR,5,5,3,14:00,1,4,-,2,1,2,2,2,4,1,4,3,-,-,1,1,-
Mendoza R.,OBR,4,2,3,23:27,1,2,1,1,-,1,2,2,-1,-,2,2,-,1,-,-,-
Pasecniks A.,PAL,4,3,1,17:35,2,5,2,5,-,-,-,4,-15,1,2,3,-,-,-,-,-
Van Der Vuurst K.,PAL,4,1,3,17:11,2,5,2,2,-,3,-,-,-7,1,-,3,-,3,-,-,-
Haarms M.,PAL,2,-,-,09:40,-,1,-,1,-,-,2,2,1,-,-,3,-,1,-,-,-
Timma J.,OBR,2,4,2,22:36,1,7,1,1,-,6,-,-,-3,2,2,4,-,1,-,-,-
Gonzalez C.,PAL,-,-,1,12:15,-,-,-,-,-,-,-,-,10,-,-,3,1,-,-,-,-
Ortega C.,PAL,-,3,2,15:23,-,1,-,-,-,1,-,-,-7,-,3,2,2,1,-,-,-
Suarez A.,OBR,-,-,-,06:33,-,1,-,-,-,1,-,-,-5,-,-,-,-,-,-,-,-
