Home Score,Category,Away Score
70,Field Goals Attempted,63
31,Field Goals Made,26
44.3%,Field Goals %,41.3%
37,2-Point Field G. Attempted,41
22,2-Point Field Goals Made,20
59.5%,2-Point Field Goals %,48.8%
33,3-Point Field G. Attempted,22
9,3-Point Field Goals Made,6
27.3%,3-Point Field Goals %,27.3%
4,Free Throws Attempted,27
4,Free Throws Made,23
100%,Free Throws %,85.2%
12,Offensive Rebounds,15
22,Defensive Rebounds,26
34,Total Rebounds,41
15,Assists,12
8,Blocks,4
15,Turnovers,14
10,Steals,8
25,Personal Fouls,14
