Home Score,Category,Away Score
61,Field Goals Attempted,63
26,Field Goals Made,31
42.6%,Field Goals %,49.2%
32,2-Point Field G. Attempted,35
18,2-Point Field Goals Made,20
56.3%,2-Point Field Goals %,57.1%
29,3-Point Field G. Attempted,28
8,3-Point Field Goals Made,11
27.6%,3-Point Field Goals %,39.3%
21,Free Throws Attempted,16
19,Free Throws Made,15
90.5%,Free Throws %,93.8%
15,Offensive Rebounds,11
20,Defensive Rebounds,19
35,Total Rebounds,30
14,Assists,17
2,Blocks,4
16,Turnovers,12
8,Steals,10
22,Personal Fouls,24
