Home Score,Category,Away Score
60,Field Goals Attempted,57
36,Field Goals Made,23
60%,Field Goals %,40.4%
40,2-Point Field G. Attempted,30
26,2-Point Field Goals Made,11
65%,2-Point Field Goals %,36.7%
20,3-Point Field G. Attempted,27
10,3-Point Field Goals Made,12
50%,3-Point Field Goals %,44.4%
26,Free Throws Attempted,18
17,Free Throws Made,13
65.4%,Free Throws %,72.2%
7,Offensive Rebounds,7
29,Defensive Rebounds,20
36,Total Rebounds,27
20,Assists,19
2,Blocks,1
12,Turnovers,19
12,Steals,7
21,Personal Fouls,24
