Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Montero J.,MOR,35,6,4,20:34,12,15,8,10,4,5,7,10,35,2,4,2,3,1,-,-,-
Harding J.,MOR,18,5,1,29:08,7,15,6,10,1,5,3,4,18,-,5,1,2,2,-,-,-
Ojeleye S.,VAL,12,-,-,14:28,3,5,2,3,1,2,5,5,-9,-,-,2,-,-,1,-,-
Perez T.,MOR,11,3,1,16:00,4,6,4,6,-,-,3,4,14,1,2,3,-,1,-,-,-
Andric M.,MOR,10,-,-,10:59,4,4,2,2,2,2,-,-,14,-,-,3,-,-,1,-,-
Anderson J.,VAL,9,1,-,15:38,3,6,2,3,1,3,2,2,-15,-,1,3,1,1,-,-,-
Lopez-Arostegui X.,VAL,9,4,1,23:36,2,8,1,5,1,3,4,5,-18,-,4,3,3,1,-,1,-
Puerto J.,VAL,9,2,3,15:02,3,5,-,1,3,4,-,2,6,-,2,2,1,1,-,-,-
Maric M.,MOR,8,6,2,20:47,4,7,4,7,-,-,-,-,19,2,4,2,1,1,-,-,-
Okoye S.,MOR,7,1,1,17:50,2,4,1,2,1,2,2,2,5,1,-,2,1,-,-,1,-
Claver V.,VAL,6,1,1,19:43,2,5,-,-,2,5,-,-,-11,-,1,3,1,1,-,-,-
Harper J.,VAL,6,1,4,23:29,2,9,-,4,2,5,-,-,-14,-,1,1,-,1,-,1,-
Jones C.,VAL,6,-,2,09:57,2,5,1,3,1,2,1,2,-10,-,-,1,-,2,-,-,-
Kaba A.,VAL,6,2,-,15:49,3,4,3,4,-,-,-,-,-4,-,2,5,-,2,-,-,-
Luz R.,MOR,6,-,3,20:23,2,3,-,1,2,2,-,-,2,-,-,-,1,2,-,-,-
Inglis D.,VAL,3,2,2,18:12,1,3,1,3,-,-,1,2,-37,1,1,2,-,2,-,-,-
Pangos K.,VAL,3,3,2,08:10,1,2,-,-,1,2,-,-,-5,2,1,-,-,1,-,-,-
dos Anjos F.,MOR,2,3,1,19:13,1,2,1,2,-,-,-,2,9,-,3,2,-,1,-,-,-
Jovic S.,VAL,2,1,1,13:24,1,4,1,3,-,1,-,-,-18,-,1,-,-,1,-,-,-
Llovet N.,MOR,1,-,-,09:34,-,-,-,-,-,-,1,2,13,-,-,-,1,-,-,-,-
Somogyi A.,MOR,1,5,3,15:02,-,3,-,-,-,3,1,2,-,-,5,1,1,1,-,-,-
Borg T.,MOR,-,4,2,17:03,-,1,-,-,-,1,-,-,24,-,4,3,1,1,1,-,-
Madsen A.,MOR,-,-,-,03:27,-,-,-,-,-,-,-,-,-13,-,-,1,-,-,-,-,-
Pradilla J.,VAL,-,9,2,22:32,-,1,-,1,-,-,-,-,-5,4,5,2,-,4,-,-,-
