Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Hornsby K.,BIL,21,1,1,23:18,6,12,3,6,3,6,6,6,7,-,1,3,2,-,-,-,-
Brussino N.,GRC,16,5,2,24:40,7,14,5,6,2,8,-,1,-6,-,5,2,-,1,-,-,-
Killeya-Jones S.,BIL,11,2,4,17:44,2,6,2,4,-,2,7,8,-3,1,1,3,-,1,-,-,-
Landesberg S.,GRC,10,-,-,14:53,3,11,1,4,2,7,2,2,-1,-,-,2,-,-,-,-,-
Salvo M.,GRC,9,5,-,18:18,4,8,4,7,-,1,1,1,-12,4,1,-,-,1,-,-,-
Andersson D.,BIL,8,5,1,18:44,3,4,1,1,2,3,-,-,6,2,3,3,1,-,-,-,-
Bassas F.,GRC,8,-,-,13:25,3,4,1,2,2,2,-,-,-10,-,-,1,-,3,-,-,-
Hlinason T.,BIL,8,6,1,21:26,4,5,4,5,-,-,-,1,11,2,4,2,-,3,-,-,-
Kullamae K.,BIL,8,2,1,19:15,3,7,1,3,2,4,-,-,3,-,2,2,2,2,-,-,-
Slaughter A. J.,GRC,7,2,1,22:01,3,10,2,4,1,6,-,-,-1,-,2,3,2,2,-,-,-
De Ridder T.,BIL,6,1,-,17:10,3,6,3,3,-,3,-,-,3,-,1,1,-,1,-,-,-
Pantzar M. J.,BIL,6,1,1,15:00,2,5,1,2,1,3,1,1,8,-,1,2,1,1,-,1,-
Pelos P.,GRC,6,3,1,23:14,2,6,-,1,2,5,-,-,4,1,2,3,-,-,-,-,-
Renfroe A.,BIL,6,4,6,26:45,1,3,1,1,-,2,4,4,6,1,3,3,1,1,-,-,-
Albicy A.,GRC,5,3,5,26:35,1,5,-,1,1,4,2,2,-,1,2,-,2,2,-,-,-
Rabaseda X.,BIL,5,2,1,12:48,2,3,1,2,1,1,-,-,13,-,2,-,1,1,-,-,-
Happ E.,GRC,4,4,-,22:03,2,7,2,7,-,-,-,2,-17,3,1,-,1,2,-,-,-
Lammers B.,GRC,3,7,1,11:24,1,1,1,1,-,-,1,1,-,4,3,3,1,1,1,-,-
Shurna J.,GRC,3,3,-,23:17,1,3,-,1,1,2,-,2,-7,-,3,2,-,-,-,-,-
Smith A.,BIL,2,3,2,19:50,1,5,1,2,-,3,-,-,3,-,3,1,1,2,-,-,-
Kljajic J.,GRC,-,-,-,00:10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Reyes A.,BIL,-,3,-,08:00,-,1,-,-,-,1,-,-,-7,-,3,-,-,1,-,-,-
