Home Score,Category,Away Score
62,Field Goals Attempted,64
34,Field Goals Made,36
54.8%,Field Goals %,56.3%
34,2-Point Field G. Attempted,39
23,2-Point Field Goals Made,26
67.6%,2-Point Field Goals %,66.7%
28,3-Point Field G. Attempted,25
11,3-Point Field Goals Made,10
39.3%,3-Point Field Goals %,40%
16,Free Throws Attempted,18
13,Free Throws Made,15
81.3%,Free Throws %,83.3%
9,Offensive Rebounds,5
22,Defensive Rebounds,20
31,Total Rebounds,25
21,Assists,19
0,Blocks,1
15,Turnovers,8
3,Steals,6
20,Personal Fouls,21
