Home Score,Category,Away Score
75,Field Goals Attempted,59
35,Field Goals Made,32
46.7%,Field Goals %,54.2%
42,2-Point Field G. Attempted,28
26,2-Point Field Goals Made,16
61.9%,2-Point Field Goals %,57.1%
33,3-Point Field G. Attempted,31
9,3-Point Field Goals Made,16
27.3%,3-Point Field Goals %,51.6%
22,Free Throws Attempted,13
16,Free Throws Made,11
72.7%,Free Throws %,84.6%
18,Offensive Rebounds,7
21,Defensive Rebounds,24
39,Total Rebounds,31
17,Assists,24
3,Blocks,2
12,Turnovers,19
10,Steals,6
17,Personal Fouls,20
