Home Score,Category,Away Score
58,Field Goals Attempted,65
23,Field Goals Made,26
39.7%,Field Goals %,40%
37,2-Point Field G. Attempted,39
20,2-Point Field Goals Made,20
54.1%,2-Point Field Goals %,51.3%
21,3-Point Field G. Attempted,26
3,3-Point Field Goals Made,6
14.3%,3-Point Field Goals %,23.1%
25,Free Throws Attempted,18
19,Free Throws Made,14
76%,Free Throws %,77.8%
9,Offensive Rebounds,9
31,Defensive Rebounds,27
40,Total Rebounds,36
8,Assists,16
0,Blocks,1
15,Turnovers,13
9,Steals,9
20,Personal Fouls,20
