Home Score,Category,Away Score
60,Field Goals Attempted,62
33,Field Goals Made,31
55%,Field Goals %,50%
30,2-Point Field G. Attempted,43
19,2-Point Field Goals Made,24
63.3%,2-Point Field Goals %,55.8%
30,3-Point Field G. Attempted,19
14,3-Point Field Goals Made,7
46.7%,3-Point Field Goals %,36.8%
28,Free Throws Attempted,24
19,Free Throws Made,17
67.9%,Free Throws %,70.8%
8,Offensive Rebounds,14
18,Defensive Rebounds,17
26,Total Rebounds,31
13,Assists,19
3,Blocks,2
13,Turnovers,16
8,Steals,5
24,Personal Fouls,25
