Home Score,Category,Away Score
71,Field Goals Attempted,64
32,Field Goals Made,28
45.1%,Field Goals %,43.8%
39,2-Point Field G. Attempted,33
22,2-Point Field Goals Made,14
56.4%,2-Point Field Goals %,42.4%
32,3-Point Field G. Attempted,31
10,3-Point Field Goals Made,14
31.3%,3-Point Field Goals %,45.2%
18,Free Throws Attempted,14
13,Free Throws Made,9
72.2%,Free Throws %,64.3%
13,Offensive Rebounds,15
22,Defensive Rebounds,27
35,Total Rebounds,42
24,Assists,22
6,Blocks,1
11,Turnovers,23
17,Steals,7
18,Personal Fouls,21
