Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Robinson D.,MAN,15,9,2,24:44,4,9,2,5,2,4,5,6,-21,2,7,3,1,6,1,-,-
Oriola P.,MAN,12,8,4,21:34,5,5,3,3,2,2,-,-,-2,4,4,2,1,1,-,-,-
Kalinoski T.,UNI,11,4,7,20:18,4,7,1,1,3,6,-,-,18,3,1,4,2,-,-,-,-
Steinbergs M.,MAN,11,1,1,17:53,3,5,-,1,3,4,2,2,9,-,1,1,1,-,-,1,-
Kravish D.,UNI,10,6,1,18:54,5,11,5,10,-,1,-,-,7,1,5,1,1,3,2,-,-
Barreiro J.,UNI,9,-,1,20:32,3,5,-,-,3,5,-,-,12,-,-,-,2,1,1,-,-
Ejim M.,UNI,9,4,5,18:44,3,5,2,3,1,2,2,2,15,2,2,4,3,1,2,1,-
Thomas W.,UNI,9,5,-,11:48,3,6,2,3,1,3,2,2,4,1,4,1,2,-,1,-,-
Badio B.,MAN,8,2,2,23:26,3,9,1,3,2,6,-,-,-11,-,2,2,1,3,-,1,-
Sima Y.,UNI,8,1,2,14:43,3,3,3,3,-,-,2,3,2,1,-,2,1,1,-,-,-
Taylor K.,UNI,8,4,2,20:47,3,8,3,5,-,3,2,2,-3,1,3,-,3,1,-,-,-
Carter T.,UNI,7,1,3,22:04,2,10,2,4,-,6,3,3,-9,-,1,3,-,-,-,-,-
Diaz A.,UNI,6,4,3,23:40,2,7,-,3,2,4,-,-,17,1,3,1,1,-,-,-,-
Garcia D.,MAN,6,2,4,17:32,2,6,-,3,2,3,-,-,9,-,2,2,-,2,-,-,-
Geben M.,MAN,6,8,-,15:49,3,7,3,6,-,1,-,-,-2,4,4,2,2,1,-,1,-
Osetkowski D.,UNI,6,2,-,13:17,3,6,3,5,-,1,-,-,-9,1,1,1,-,3,-,-,-
Vaulet J.,MAN,6,3,3,19:20,2,7,1,3,1,4,1,2,-16,1,2,-,-,2,-,1,-
Williams T.,MAN,6,-,1,13:06,2,3,1,1,1,2,1,4,3,-,-,4,-,1,-,-,-
Taylor B.,MAN,5,-,4,15:48,2,4,1,2,1,2,-,-,4,-,-,-,-,1,-,-,-
Djedovic N.,UNI,4,-,-,12:39,1,3,1,2,-,1,2,4,-11,-,-,1,1,1,-,-,-
Sagnia M.,MAN,4,5,1,19:23,2,3,2,3,-,-,-,-,3,-,5,3,1,2,-,-,-
Lima A.,UNI,-,-,-,02:34,-,-,-,-,-,-,-,2,-3,-,-,-,-,-,-,-,-
Perez D.,MAN,-,-,-,11:25,-,6,-,3,-,3,-,-,-16,-,-,2,-,3,-,2,-
