Home Score,Category,Away Score
18,Field Goals Attempted,10
10,Field Goals Made,4
55.6%,Field Goals %,40%
11,2-Point Field G. Attempted,7
7,2-Point Field Goals Made,3
63.6%,2-Point Field Goals %,42.9%
7,3-Point Field G. Attempted,3
3,3-Point Field Goals Made,1
42.9%,3-Point Field Goals %,33.3%
11,Free Throws Attempted,6
8,Free Throws Made,5
72.7%,Free Throws %,83.3%
4,Offensive Rebounds,0
6,Defensive Rebounds,3
10,Total Rebounds,3
4,Assists,1
0,Blocks,1
1,Turnovers,8
7,Steals,1
4,Personal Fouls,7
