Home Score,Category,Away Score
12,Field Goals Attempted,23
4,Field Goals Made,8
33.3%,Field Goals %,34.8%
6,2-Point Field G. Attempted,13
3,2-Point Field Goals Made,4
50%,2-Point Field Goals %,30.8%
6,3-Point Field G. Attempted,10
1,3-Point Field Goals Made,4
16.7%,3-Point Field Goals %,40%
13,Free Throws Attempted,6
11,Free Throws Made,5
84.6%,Free Throws %,83.3%
2,Offensive Rebounds,7
9,Defensive Rebounds,6
11,Total Rebounds,13
3,Assists,4
4,Blocks,3
4,Turnovers,3
1,Steals,2
5,Personal Fouls,10
