Home Score,Category,Away Score
66,Field Goals Attempted,75
35,Field Goals Made,34
53%,Field Goals %,45.3%
43,2-Point Field G. Attempted,39
27,2-Point Field Goals Made,18
62.8%,2-Point Field Goals %,46.2%
23,3-Point Field G. Attempted,36
8,3-Point Field Goals Made,16
34.8%,3-Point Field Goals %,44.4%
22,Free Throws Attempted,8
18,Free Throws Made,6
81.8%,Free Throws %,75%
8,Offensive Rebounds,14
27,Defensive Rebounds,25
35,Total Rebounds,39
19,Assists,17
2,Blocks,1
9,Turnovers,14
7,Steals,7
18,Personal Fouls,22
