Home Score,Category,Away Score
71,Field Goals Attempted,61
26,Field Goals Made,30
36.6%,Field Goals %,49.2%
33,2-Point Field G. Attempted,35
18,2-Point Field Goals Made,21
54.5%,2-Point Field Goals %,60%
38,3-Point Field G. Attempted,26
8,3-Point Field Goals Made,9
21.1%,3-Point Field Goals %,34.6%
13,Free Throws Attempted,19
12,Free Throws Made,14
92.3%,Free Throws %,73.7%
19,Offensive Rebounds,8
24,Defensive Rebounds,26
43,Total Rebounds,34
13,Assists,21
2,Blocks,3
13,Turnovers,12
6,Steals,10
19,Personal Fouls,20
