Home Score,Category,Away Score
56,Field Goals Attempted,58
33,Field Goals Made,32
58.9%,Field Goals %,55.2%
36,2-Point Field G. Attempted,33
21,2-Point Field Goals Made,20
58.3%,2-Point Field Goals %,60.6%
20,3-Point Field G. Attempted,25
12,3-Point Field Goals Made,12
60%,3-Point Field Goals %,48%
28,Free Throws Attempted,11
23,Free Throws Made,8
82.1%,Free Throws %,72.7%
5,Offensive Rebounds,9
16,Defensive Rebounds,18
21,Total Rebounds,27
28,Assists,21
2,Blocks,2
4,Turnovers,14
10,Steals,4
16,Personal Fouls,20
