Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Kravish D.,UNI,12,4,1,13:09,6,8,6,7,-,1,-,-,12,2,2,3,-,1,-,-,-
Williams T.,MAN,12,3,4,17:13,4,7,-,-,4,7,-,-,-6,-,3,2,1,3,-,-,-
Badio B.,MAN,10,1,1,25:57,4,12,3,3,1,9,1,1,-18,-,1,2,-,2,-,-,-
Ejim M.,UNI,10,5,1,18:28,4,7,3,5,1,2,1,1,4,1,4,1,-,1,-,1,-
Kalinoski T.,UNI,10,1,2,17:53,4,5,2,2,2,3,-,-,13,-,1,-,-,-,-,-,-
Carter T.,UNI,9,4,9,19:54,4,7,3,4,1,3,-,-,11,-,4,4,3,-,-,-,-
Djedovic N.,UNI,9,3,1,17:00,3,9,3,6,-,3,3,3,19,-,3,3,-,1,-,-,-
Taylor K.,UNI,9,3,1,18:50,4,9,3,6,1,3,-,-,-3,1,2,4,2,3,-,-,-
Garcia D.,MAN,8,2,2,17:35,3,10,2,6,1,4,1,1,-13,1,1,-,-,-,-,-,-
Oriola P.,MAN,8,5,-,22:03,2,3,2,3,-,-,4,4,-6,2,3,3,-,-,-,-,-
Robinson D.,MAN,7,5,-,21:51,3,11,3,8,-,3,1,2,-17,-,5,1,1,2,-,-,-
Diaz A.,UNI,6,2,3,22:12,1,4,-,2,1,2,3,4,14,-,2,1,1,-,-,-,-
Thomas W.,UNI,6,4,-,12:52,2,4,-,-,2,4,-,-,10,-,4,-,1,1,1,-,-
Vaulet J.,MAN,6,5,-,18:17,3,5,3,4,-,1,-,-,-7,2,3,-,-,-,-,-,-
Barreiro J.,UNI,5,4,-,17:50,2,5,1,3,1,2,-,-,14,-,4,-,-,-,-,-,-
Geben M.,MAN,5,4,-,14:47,2,6,2,5,-,1,1,2,-10,1,3,1,-,-,-,1,-
Lima A.,UNI,4,3,1,10:00,2,7,2,7,-,-,-,-,4,3,-,1,1,1,1,-,-
Sima Y.,UNI,4,6,-,16:51,2,3,2,3,-,-,-,-,7,1,5,2,-,1,-,-,-
Perez D.,MAN,3,2,4,13:10,1,6,-,1,1,5,-,2,-2,-,2,3,-,1,-,-,-
Osetkowski D.,UNI,2,3,1,15:01,-,2,-,2,-,-,2,4,10,1,2,-,-,-,-,-,-
Sagnia M.,MAN,2,3,-,18:33,1,3,1,1,-,2,-,-,-15,2,1,-,1,-,1,-,-
Taylor B.,MAN,2,1,-,09:15,1,6,1,2,-,4,-,-,-8,1,-,2,1,2,-,-,-
Mawugbe S.,MAN,-,-,-,03:10,-,-,-,-,-,-,-,-,-7,-,-,-,-,-,-,-,-
Steinbergs M.,MAN,-,4,1,18:09,-,1,-,-,-,1,-,-,-6,2,2,1,-,1,-,1,-
