Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Howard J.,OBR,27,2,3,28:56,9,18,2,6,7,12,2,2,4,-,2,1,-,3,-,-,-
Badio B.,MAN,25,4,5,27:43,8,15,5,9,3,6,6,7,13,2,2,1,-,2,-,1,-
Dotson D.,OBR,18,4,4,24:33,7,11,7,10,-,1,4,4,-16,1,3,4,1,2,-,-,-
Robinson D.,MAN,17,-,1,23:33,6,14,5,9,1,5,4,6,9,-,-,3,2,2,-,-,-
Pustovyi A.,OBR,13,9,1,29:58,3,7,3,7,-,-,7,8,2,4,5,5,-,1,3,2,-
Geben M.,MAN,12,3,1,18:10,4,6,2,4,2,2,2,2,5,-,3,3,1,-,1,-,-
Williams T.,MAN,10,4,1,16:04,2,6,-,3,2,3,4,4,-1,1,3,2,-,-,-,1,-
Sagnia M.,MAN,9,3,1,19:41,3,5,1,2,2,3,1,1,3,1,2,-,-,1,1,1,-
Scrubb T.,OBR,8,7,2,37:53,2,9,2,6,-,3,4,4,-,1,6,1,-,1,1,-,-
Mendoza R.,OBR,7,1,1,16:15,3,5,2,4,1,1,-,-,-14,-,1,2,-,2,1,-,-
Garcia D.,MAN,5,2,3,15:35,2,6,2,3,-,3,1,1,-3,2,-,2,-,-,-,1,-
Timma J.,OBR,5,3,-,18:49,2,6,1,1,1,5,-,-,-1,2,1,1,1,1,-,-,-
Oriola P.,MAN,4,2,-,13:46,2,3,2,3,-,-,-,-,-6,1,1,3,1,-,-,-,-
Vaulet J.,MAN,4,2,2,20:31,2,4,2,2,-,2,-,-,-4,-,2,1,-,-,-,-,-
Zurbriggen F.,OBR,4,1,-,17:34,2,4,2,4,-,-,-,-,-,-,1,3,-,2,1,1,-
Jou Coll G.,MAN,3,-,-,12:45,1,3,-,-,1,3,-,-,7,-,-,1,1,-,-,1,-
Perez D.,MAN,3,1,4,15:37,1,5,-,-,1,5,-,-,20,1,-,2,-,-,-,-,-
Blazevic M.,OBR,2,5,1,12:42,1,1,1,1,-,-,-,-,-7,-,5,5,-,1,-,-,-
Guerrero R.,OBR,2,5,-,09:21,1,2,1,2,-,-,-,-,-9,2,3,1,-,1,-,-,-
Taylor B.,MAN,2,2,2,08:48,-,6,-,2,-,4,2,2,-9,-,2,-,-,1,1,1,-
Mawugbe S.,MAN,-,4,-,07:47,-,1,-,1,-,-,-,2,6,2,2,2,-,1,-,-,-
Suarez A.,OBR,-,1,-,03:59,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-
