Home Score,Category,Away Score
64,Field Goals Attempted,69
20,Field Goals Made,25
31.3%,Field Goals %,36.2%
34,2-Point Field G. Attempted,44
12,2-Point Field Goals Made,19
35.3%,2-Point Field Goals %,43.2%
30,3-Point Field G. Attempted,25
8,3-Point Field Goals Made,6
26.7%,3-Point Field Goals %,24%
18,Free Throws Attempted,23
18,Free Throws Made,18
100%,Free Throws %,78.3%
10,Offensive Rebounds,17
25,Defensive Rebounds,33
35,Total Rebounds,50
9,Assists,16
5,Blocks,1
10,Turnovers,12
7,Steals,6
21,Personal Fouls,19
