Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Caupain T.,MUR,19,2,2,24:56,6,10,2,4,4,6,3,3,22,-,2,1,-,1,-,-,-
Ennis D.,MUR,19,4,1,26:39,6,10,5,7,1,3,6,8,4,1,3,1,2,2,-,-,-
Perry K.,UNI,14,4,4,24:01,5,15,1,6,4,9,-,-,-5,1,3,2,-,3,-,-,-
Osetkowski D.,UNI,12,5,1,23:06,3,8,1,3,2,5,4,4,-4,1,4,2,1,-,-,-,-
Sant-Roos H.,MUR,10,3,2,23:00,2,6,1,3,1,3,5,5,12,-,3,1,2,-,1,1,-
Sima Y.,UNI,10,3,1,18:50,4,4,4,4,-,-,2,6,10,1,2,3,-,2,1,-,-
Diagne M.,MUR,9,5,-,19:24,4,5,4,5,-,-,1,2,4,2,3,1,-,-,-,-,-
Ejim M.,UNI,7,4,1,19:34,3,5,3,5,-,-,1,1,-9,2,2,5,2,1,1,-,-
Kravish D.,UNI,7,5,1,15:36,3,7,2,6,1,1,-,-,-10,2,3,3,-,-,-,-,-
Diaz A.,UNI,6,-,4,17:13,2,5,-,1,2,4,-,-,-3,-,-,-,1,-,-,-,-
Kalinoski T.,UNI,6,9,2,25:14,2,9,-,2,2,7,-,-,-7,7,2,3,-,1,-,-,-
Morin Y.,MUR,6,2,-,20:36,3,4,3,4,-,-,-,-,5,1,1,3,-,-,-,-,-
Carter T.,UNI,5,2,1,19:01,1,4,-,1,1,3,2,2,-11,1,1,1,-,3,-,-,-
Sleva D.,MUR,5,7,2,30:28,1,7,1,4,-,3,3,4,15,1,6,3,1,-,-,-,-
Kurucs R.,MUR,4,3,1,17:00,2,5,2,3,-,2,-,-,-3,1,2,2,2,3,-,-,-
Hakanson L.,MUR,3,1,2,14:44,1,4,-,1,1,3,-,-,-12,-,1,-,-,1,-,-,-
Radebaugh J.,MUR,2,1,-,13:41,1,3,1,2,-,1,-,-,4,-,1,1,1,3,-,1,-
Radovic N.,MUR,2,3,-,09:32,-,1,-,1,-,-,2,2,-6,2,1,2,-,-,-,-,-
Taylor K.,UNI,2,4,1,21:06,1,8,1,2,-,6,-,2,6,1,3,2,2,3,-,1,-
Barreiro J.,UNI,1,2,-,06:04,-,2,-,-,-,2,1,2,-,1,1,1,-,-,-,-,-
Djedovic N.,UNI,-,-,-,04:26,-,1,-,1,-,-,-,-,-8,-,-,-,-,-,-,-,-
Thomas W.,UNI,-,-,-,05:49,-,1,-,1,-,-,-,-,-4,-,-,1,-,-,-,-,-
