Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Laprovittola N.,BAR,29,6,3,24:22,10,17,5,8,5,9,4,6,15,2,4,4,-,4,-,1,-
Happ E.,GRC,24,7,1,28:49,9,12,9,11,-,1,6,6,-16,4,3,3,-,5,2,-,-
Parker J.,BAR,15,4,3,27:53,5,11,3,5,2,6,3,3,9,1,3,-,-,1,-,-,-
Brussino N.,GRC,14,2,4,22:26,4,8,1,1,3,7,3,3,3,-,2,5,2,-,-,-,-
Pelos P.,GRC,13,7,-,17:44,6,10,5,7,1,3,-,-,-2,1,6,3,-,1,-,-,-
Vesely J.,BAR,11,3,2,19:14,4,5,4,5,-,-,3,3,5,2,1,4,1,2,-,-,-
Kljajic J.,GRC,10,1,4,29:19,3,13,2,10,1,3,3,5,1,-,1,3,1,1,1,-,-
Abrines A.,BAR,9,4,-,24:57,1,4,-,-,1,4,6,6,11,2,2,3,-,1,-,-,-
Satoransky T.,BAR,9,8,6,30:42,4,9,3,5,1,4,-,1,18,3,5,2,-,2,-,1,-
Shurna J.,GRC,8,4,-,27:37,3,8,1,4,2,4,-,1,-4,2,2,1,-,-,-,-,-
Bassas F.,GRC,7,1,4,21:50,2,4,1,1,1,3,2,2,-16,1,-,1,1,2,-,-,-
Hernangomez W.,BAR,7,4,1,20:24,2,4,2,4,-,-,3,4,-,2,2,1,2,2,-,1,-
Albicy A.,GRC,5,-,4,30:47,2,5,1,1,1,4,-,-,-4,-,-,1,2,3,-,-,-
Lammers B.,GRC,5,3,-,15:50,2,3,1,2,1,1,-,-,10,-,3,4,1,-,-,-,-
Brizuela D.,BAR,4,-,1,15:01,2,6,2,3,-,3,-,-,-,-,-,1,1,1,-,-,-
Jokubaitis R.,BAR,4,-,-,08:10,2,3,2,3,-,-,-,-,-5,-,-,1,-,-,-,-,-
Parra J.,BAR,3,4,-,16:19,1,4,-,1,1,3,-,-,-14,1,3,2,-,2,-,-,-
Salvo M.,GRC,3,2,2,18:10,1,3,-,1,1,2,-,-,3,-,2,2,1,1,-,-,-
Da Silva O.,BAR,2,-,-,18:29,1,1,1,1,-,-,-,-,3,-,-,2,1,2,-,-,-
Rubio R.,BAR,2,5,2,19:29,1,2,1,2,-,-,-,-,-12,1,4,2,1,1,-,-,-
Gegic A.,GRC,-,1,-,02:40,-,1,-,-,-,1,-,-,-10,1,-,-,-,-,-,-,-
Landesberg S.,GRC,-,1,1,09:48,-,2,-,1,-,1,-,-,5,-,1,1,-,-,-,-,-
