Home Score,Category,Away Score
71,Field Goals Attempted,61
29,Field Goals Made,28
40.8%,Field Goals %,45.9%
46,2-Point Field G. Attempted,36
22,2-Point Field Goals Made,16
47.8%,2-Point Field Goals %,44.4%
25,3-Point Field G. Attempted,25
7,3-Point Field Goals Made,12
28%,3-Point Field Goals %,48%
20,Free Throws Attempted,12
19,Free Throws Made,8
95%,Free Throws %,66.7%
15,Offensive Rebounds,6
28,Defensive Rebounds,25
43,Total Rebounds,31
19,Assists,14
2,Blocks,2
6,Turnovers,10
3,Steals,4
17,Personal Fouls,21
