Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Caupain T.,MUR,16,1,-,20:20,6,10,3,5,3,5,1,2,8,-,1,-,1,-,-,-,-
Musa D.,REA,16,8,1,19:25,5,10,5,9,-,1,6,6,17,4,4,2,-,1,-,1,-
Sant-Roos H.,MUR,13,8,4,26:50,4,8,1,2,3,6,2,2,3,-,8,1,1,-,-,-,-
Campazzo F.,REA,11,2,7,25:20,4,9,3,7,1,2,2,2,12,1,1,3,3,1,-,1,-
Hakanson L.,MUR,11,2,3,19:40,4,6,1,1,3,5,-,-,-16,-,2,3,-,2,-,-,-
Hezonja M.,REA,11,4,1,19:05,3,7,1,3,2,4,3,3,16,1,3,1,-,1,1,-,-
Ennis D.,MUR,8,1,3,21:26,4,6,4,5,-,1,-,-,-23,-,1,2,1,5,-,-,-
Radebaugh J.,MUR,8,-,-,18:34,3,6,1,4,2,2,-,-,15,-,-,3,-,-,1,-,-
Rodriguez S.,REA,8,-,2,14:40,3,7,1,3,2,4,-,-,-4,-,-,3,-,1,-,-,-
Tavares E.,REA,8,9,-,20:32,4,9,4,9,-,-,-,-,14,4,5,3,-,-,-,-,-
Yabusele G.,REA,8,5,1,23:18,2,7,1,4,1,3,3,3,-9,2,3,2,-,-,-,-,-
Kurucs R.,MUR,7,2,1,21:07,3,6,2,4,1,2,-,-,-4,1,1,4,-,-,-,-,-
Poirier V.,REA,7,3,-,19:28,1,3,1,3,-,-,5,6,-6,1,2,1,-,-,1,-,-
Causeur F.,REA,6,-,1,16:23,3,7,3,4,-,3,-,-,16,-,-,2,-,-,-,-,-
Morin Y.,MUR,6,5,2,23:38,1,7,1,7,-,-,4,6,-7,1,4,3,1,-,-,1,-
Diagne M.,MUR,5,2,-,15:34,2,5,2,5,-,-,1,2,-3,1,1,3,-,3,-,-,-
Abalde A.,REA,4,3,1,07:17,2,4,2,3,-,1,-,-,-8,-,3,-,-,-,-,-,-
Fernandez R.,REA,3,4,1,14:39,1,1,-,-,1,1,-,-,1,1,3,-,-,2,-,-,-
Llull S.,REA,2,2,4,19:53,1,7,1,1,-,6,-,-,-9,-,2,-,-,-,-,-,-
Sleva D.,MUR,2,6,1,27:57,1,6,1,3,-,3,-,-,-11,2,4,2,-,-,1,1,-
Radovic N.,MUR,-,3,-,04:54,-,1,-,-,-,1,-,-,-2,1,2,-,-,-,-,-,-
