Home Score,Category,Away Score
64,Field Goals Attempted,75
32,Field Goals Made,32
50%,Field Goals %,42.7%
43,2-Point Field G. Attempted,36
17,2-Point Field Goals Made,20
39.5%,2-Point Field Goals %,55.6%
21,3-Point Field G. Attempted,39
15,3-Point Field Goals Made,12
71.4%,3-Point Field Goals %,30.8%
26,Free Throws Attempted,26
20,Free Throws Made,17
76.9%,Free Throws %,65.4%
9,Offensive Rebounds,14
30,Defensive Rebounds,22
39,Total Rebounds,36
22,Assists,18
0,Blocks,4
15,Turnovers,10
3,Steals,9
24,Personal Fouls,18
