Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Anderson J.,VAL,21,3,2,26:48,7,12,3,7,4,5,3,3,7,-,3,4,1,1,-,1,-
Jones C.,VAL,21,1,9,24:52,5,10,1,5,4,5,7,8,7,-,1,1,1,5,-,1,-
Ojeleye S.,VAL,16,3,1,26:37,6,10,3,6,3,4,1,1,10,1,2,2,-,1,-,-,-
Inglis D.,VAL,13,4,3,21:56,6,12,5,10,1,2,-,-,-2,-,4,3,-,1,-,-,-
Llull S.,REA,11,3,1,17:53,4,8,2,3,2,5,1,2,-2,1,2,1,-,1,-,-,-
Yabusele G.,REA,11,2,2,26:14,4,10,4,6,-,4,3,5,-10,1,1,1,-,-,-,-,-
Fernandez R.,REA,10,1,1,16:40,3,7,-,-,3,7,1,2,-7,-,1,-,3,-,-,-,-
Hezonja M.,REA,10,5,5,24:03,4,13,2,4,2,9,-,-,-7,1,4,2,2,1,-,-,-
Musa D.,REA,10,1,-,19:08,4,11,3,5,1,6,1,1,3,-,1,2,1,-,-,-,-
Tavares E.,REA,10,9,1,27:21,4,4,4,4,-,-,2,4,-11,4,5,1,-,2,3,-,-
Deck G.,REA,9,3,-,18:36,3,5,1,3,2,2,1,2,2,2,1,2,-,-,-,-,-
Campazzo F.,REA,8,3,3,21:25,2,6,2,3,-,3,4,5,-6,-,3,4,3,2,-,-,-
Pradilla J.,VAL,7,7,1,25:37,3,4,2,3,1,1,-,2,8,2,5,3,-,2,-,-,-
Kaba A.,VAL,6,6,-,10:46,2,5,2,5,-,-,2,4,11,3,3,4,-,2,-,1,-
Abalde A.,REA,5,-,-,07:20,1,3,-,2,1,1,2,2,5,-,-,1,-,-,-,-,-
Jovic S.,VAL,5,-,5,14:39,2,4,1,3,1,1,-,-,-1,-,-,1,-,-,-,-,-
Lopez-Arostegui X.,VAL,4,6,-,17:17,-,2,-,2,-,-,4,5,-1,2,4,-,-,1,-,-,-
Puerto J.,VAL,3,1,-,08:20,1,1,-,-,1,1,-,-,-1,-,1,-,-,-,-,-,-
Rodriguez S.,REA,3,-,1,07:40,1,2,-,-,1,2,-,-,-,-,-,1,-,2,-,-,-
Poirier V.,REA,2,6,3,11:15,1,4,1,4,-,-,-,-,-2,3,3,2,-,1,1,-,-
Claver V.,VAL,-,-,1,13:54,-,1,-,-,-,1,-,-,1,-,-,-,-,1,-,-,-
Reuvers N.,VAL,-,2,-,06:49,-,2,-,2,-,-,-,-,-4,-,2,4,1,-,-,1,-
