Home Score,Category,Away Score
67,Field Goals Attempted,55
27,Field Goals Made,25
40.3%,Field Goals %,45.5%
34,2-Point Field G. Attempted,29
18,2-Point Field Goals Made,17
52.9%,2-Point Field Goals %,58.6%
33,3-Point Field G. Attempted,26
9,3-Point Field Goals Made,8
27.3%,3-Point Field Goals %,30.8%
19,Free Throws Attempted,25
13,Free Throws Made,16
68.4%,Free Throws %,64%
12,Offensive Rebounds,9
24,Defensive Rebounds,30
36,Total Rebounds,39
12,Assists,19
2,Blocks,2
10,Turnovers,14
7,Steals,7
22,Personal Fouls,20
