Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Killeya-Jones S.,BIL,25,2,3,25:33,10,16,10,16,-,-,5,7,-1,-,2,3,1,2,1,1,-
Hornsby K.,BIL,19,-,1,23:44,3,7,1,2,2,5,11,11,-3,-,-,4,1,3,-,-,-
Geben M.,MAN,16,2,1,15:58,7,8,5,5,2,3,-,-,11,-,2,2,1,-,-,-,-
Perez D.,MAN,16,2,6,16:00,5,8,2,3,3,5,3,3,17,2,-,3,3,1,-,-,-
Badio B.,MAN,13,2,1,25:15,2,13,1,6,1,7,8,8,12,2,-,2,1,3,-,1,-
Vaulet J.,MAN,12,6,-,20:46,4,6,3,4,1,2,3,5,6,2,4,1,2,1,-,1,-
Kullamae K.,BIL,11,-,7,25:43,5,11,4,6,1,5,-,-,-6,-,-,1,1,3,-,1,-
Robinson D.,MAN,9,3,3,24:09,4,8,3,6,1,2,-,-,18,-,3,1,1,2,-,-,-
Andersson D.,BIL,7,2,1,24:20,3,3,2,2,1,1,-,-,8,-,2,-,-,-,-,-,-
Oriola P.,MAN,6,7,-,15:28,3,3,3,3,-,-,-,-,-8,4,3,4,-,2,1,-,-
Steinbergs M.,MAN,6,5,1,15:51,2,9,-,-,2,9,-,-,-9,2,3,-,-,-,-,-,-
Garcia D.,MAN,5,1,6,18:47,1,5,-,1,1,4,2,2,3,-,1,2,-,1,-,-,-
Reyes A.,BIL,5,1,-,17:07,2,8,1,2,1,6,-,-,-11,-,1,2,2,2,-,-,-
Pantzar M. J.,BIL,4,3,2,21:06,2,5,2,4,-,1,-,-,-13,-,3,1,3,3,-,1,-
Rigo T.,BIL,4,2,-,13:27,1,2,-,-,1,2,1,2,6,-,2,3,-,-,-,-,-
Hlinason T.,BIL,3,3,1,14:27,1,2,1,1,-,1,1,1,-8,1,2,3,-,2,2,-,-
Rabaseda X.,BIL,3,3,-,18:53,1,1,-,-,1,1,-,2,-,-,3,3,1,1,-,-,-
Mawugbe S.,MAN,2,3,1,08:34,1,1,1,1,-,-,-,-,6,1,2,2,-,-,-,-,-
Sagnia M.,MAN,2,2,-,17:57,-,2,-,1,-,1,2,4,5,-,2,-,-,1,2,-,-
Taylor B.,MAN,2,3,-,07:57,1,3,1,2,-,1,-,-,-13,1,2,1,-,-,-,-,-
Williams T.,MAN,1,5,2,13:18,-,4,-,1,-,3,1,2,-3,1,4,2,-,3,-,1,-
De Ridder T.,BIL,-,-,-,15:40,-,1,-,-,-,1,-,-,-17,-,-,5,1,-,-,-,-
