Home Score,Category,Away Score
67,Field Goals Attempted,60
29,Field Goals Made,30
43.3%,Field Goals %,50%
31,2-Point Field G. Attempted,34
17,2-Point Field Goals Made,17
54.8%,2-Point Field Goals %,50%
36,3-Point Field G. Attempted,26
12,3-Point Field Goals Made,13
33.3%,3-Point Field Goals %,50%
13,Free Throws Attempted,19
9,Free Throws Made,15
69.2%,Free Throws %,78.9%
14,Offensive Rebounds,11
20,Defensive Rebounds,23
34,Total Rebounds,34
17,Assists,18
2,Blocks,0
13,Turnovers,12
8,Steals,8
18,Personal Fouls,17
