Home Score,Category,Away Score
63,Field Goals Attempted,63
27,Field Goals Made,34
42.9%,Field Goals %,54%
32,2-Point Field G. Attempted,39
15,2-Point Field Goals Made,27
46.9%,2-Point Field Goals %,69.2%
31,3-Point Field G. Attempted,24
12,3-Point Field Goals Made,7
38.7%,3-Point Field Goals %,29.2%
16,Free Throws Attempted,16
12,Free Throws Made,11
75%,Free Throws %,68.8%
10,Offensive Rebounds,10
21,Defensive Rebounds,26
31,Total Rebounds,36
16,Assists,18
5,Blocks,3
13,Turnovers,13
7,Steals,6
20,Personal Fouls,20
