Home Score,Category,Away Score
75,Field Goals Attempted,66
31,Field Goals Made,33
41.3%,Field Goals %,50%
39,2-Point Field G. Attempted,36
22,2-Point Field Goals Made,22
56.4%,2-Point Field Goals %,61.1%
36,3-Point Field G. Attempted,30
9,3-Point Field Goals Made,11
25%,3-Point Field Goals %,36.7%
21,Free Throws Attempted,24
19,Free Throws Made,20
90.5%,Free Throws %,83.3%
12,Offensive Rebounds,8
23,Defensive Rebounds,29
35,Total Rebounds,37
17,Assists,14
2,Blocks,1
15,Turnovers,19
8,Steals,8
23,Personal Fouls,23
