Home Score,Category,Away Score
66,Field Goals Attempted,67
36,Field Goals Made,25
54.5%,Field Goals %,37.3%
39,2-Point Field G. Attempted,42
30,2-Point Field Goals Made,17
76.9%,2-Point Field Goals %,40.5%
27,3-Point Field G. Attempted,25
6,3-Point Field Goals Made,8
22.2%,3-Point Field Goals %,32%
10,Free Throws Attempted,9
10,Free Throws Made,4
100%,Free Throws %,44.4%
11,Offensive Rebounds,12
28,Defensive Rebounds,17
39,Total Rebounds,29
16,Assists,14
1,Blocks,2
9,Turnovers,9
5,Steals,2
18,Personal Fouls,19
