Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Harding J.,MOR,20,2,-,26:25,8,13,5,6,3,7,1,1,13,-,2,1,-,2,-,-,-
Cheatham K.,GRA,18,6,1,29:06,7,14,5,8,2,6,2,3,-9,4,2,2,-,-,-,-,-
Maric M.,MOR,18,10,2,29:22,9,10,9,10,-,-,-,-,30,5,5,3,-,3,-,-,-
Montero J.,MOR,15,3,7,29:39,5,10,4,5,1,5,4,4,21,-,3,2,1,1,-,-,-
Perez T.,MOR,12,9,-,31:01,4,7,4,5,-,2,4,4,17,2,7,1,-,1,-,1,-
Wiley J.,GRA,10,4,-,28:05,5,8,5,7,-,1,-,-,-,1,3,1,-,2,2,-,-
Valtonen E.,GRA,9,4,1,20:59,3,7,-,1,3,6,-,-,-12,2,2,3,-,-,-,1,-
Kramer D.,GRA,8,3,1,22:11,4,10,4,8,-,2,-,2,-14,2,1,5,-,1,-,-,-
Luz R.,MOR,8,1,3,15:46,4,9,4,6,-,3,-,-,12,-,1,3,-,-,-,-,-
Rousselle J.,GRA,7,2,3,19:09,2,7,-,3,2,4,1,2,-12,-,2,1,-,-,-,-,-
Tomas P.,GRA,6,3,1,15:28,2,4,1,1,1,3,1,2,-6,1,2,2,-,1,-,-,-
Borg T.,MOR,4,1,1,17:39,1,5,-,1,1,4,1,1,12,-,1,2,-,-,1,-,-
Costa Martinez L.,GRA,4,1,6,25:10,2,9,2,8,-,1,-,-,-11,-,1,-,1,1,-,-,-
Llovet N.,MOR,4,4,1,10:38,2,3,2,3,-,-,-,-,-4,2,2,1,1,-,-,-,-
Okoye S.,MOR,4,2,1,22:37,2,5,2,3,-,2,-,-,12,1,1,3,1,-,-,-,-
Andric M.,MOR,3,2,1,08:59,1,3,-,-,1,3,-,-,9,1,1,1,1,-,-,-,-
Barton W.,GRA,-,-,-,03:33,-,1,-,1,-,-,-,-,-8,-,-,-,-,1,-,-,-
Diaz Rodriguez C.,GRA,-,1,1,13:30,-,2,-,-,-,2,-,-,-15,-,1,2,-,1,-,-,-
Dime M.,GRA,-,-,-,04:08,-,-,-,-,-,-,-,-,-7,-,-,1,-,-,-,-,-
Felicio C.,GRA,-,3,-,13:20,-,3,-,3,-,-,-,-,-21,1,2,2,-,1,-,-,-
Iriarte D.,GRA,-,-,-,05:21,-,2,-,2,-,-,-,-,-15,-,-,-,-,-,-,-,-
Rubio Ninirola J.,MOR,-,1,-,07:54,-,1,-,-,-,1,-,-,8,-,1,1,-,-,-,-,-
