Home Score,Category,Away Score
67,Field Goals Attempted,52
31,Field Goals Made,26
46.3%,Field Goals %,50%
40,2-Point Field G. Attempted,28
22,2-Point Field Goals Made,16
55%,2-Point Field Goals %,57.1%
27,3-Point Field G. Attempted,24
9,3-Point Field Goals Made,10
33.3%,3-Point Field Goals %,41.7%
15,Free Throws Attempted,29
13,Free Throws Made,23
86.7%,Free Throws %,79.3%
13,Offensive Rebounds,6
21,Defensive Rebounds,23
34,Total Rebounds,29
14,Assists,14
3,Blocks,1
14,Turnovers,14
6,Steals,9
26,Personal Fouls,17
