Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Kramer D.,GRA,22,1,2,25:56,9,9,5,5,4,4,-,-,4,-,1,3,1,1,-,-,-
Polite A.,BRE,21,2,4,25:38,8,11,4,5,4,6,1,1,14,1,1,1,2,1,-,-,-
Bamforth S.,GRA,17,-,-,21:20,5,11,1,2,4,9,3,3,3,-,-,4,-,1,-,-,-
Robinson J.,BRE,15,2,4,23:18,3,9,1,5,2,4,7,8,5,-,2,2,1,1,-,3,-
Cheatham K.,GRA,13,6,2,30:26,6,11,5,9,1,2,-,-,1,-,6,3,-,1,-,-,-
Costa Martinez L.,GRA,12,3,3,30:09,4,11,4,8,-,3,4,6,6,1,2,-,1,-,-,-,-
Felicio C.,GRA,12,7,1,23:28,4,5,4,5,-,-,4,4,6,3,4,3,1,1,-,-,-
Fernandez J.,BRE,12,6,-,22:21,4,7,4,6,-,1,4,6,-5,2,4,2,1,-,1,-,-
Jogela M.,BRE,11,8,1,20:42,4,7,3,4,1,3,2,2,8,2,6,3,1,2,-,-,-
Momirov S.,BRE,8,2,-,19:13,3,5,1,2,2,3,-,-,-11,-,2,2,-,1,-,-,-
Garcia S.,BRE,7,-,3,21:03,1,1,-,-,1,1,4,4,-3,-,-,-,1,2,-,-,-
McLemore B.,BRE,6,4,1,27:51,2,8,2,4,-,4,2,2,-3,-,4,2,1,5,-,-,-
Valtonen E.,GRA,4,5,-,16:59,1,6,1,3,-,3,2,2,4,1,4,5,1,2,-,-,-
Nakic T.,BRE,2,-,-,12:22,-,2,-,1,-,1,2,2,-10,-,-,2,-,-,-,-,-
Quintela S.,BRE,2,-,-,09:52,1,2,1,1,-,1,-,2,4,-,-,2,-,2,-,-,-
Rousselle J.,GRA,2,-,3,12:58,1,4,1,2,-,2,-,-,-11,-,-,1,1,1,-,1,-
Wiley J.,GRA,2,6,1,14:40,1,3,1,3,-,-,-,-,-4,3,3,4,-,2,2,-,-
Sakho J.,BRE,1,3,1,17:40,-,-,-,-,-,-,1,2,6,-,3,1,-,-,-,-,-
Diaz Rodriguez C.,GRA,-,-,-,04:03,-,1,-,-,-,1,-,-,-8,-,-,-,-,-,-,-,-
Dime M.,GRA,-,2,1,05:36,-,2,-,2,-,-,-,-,-10,2,-,2,1,1,1,-,-
Tomas P.,GRA,-,1,1,14:25,-,4,-,1,-,3,-,-,4,1,-,1,-,2,-,-,-
