Name,TEAM,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-,OR,DR,PF,ST,TO,BS,BA,TFS
Guy K.,TEN,25,2,3,30:42,8,12,3,6,5,6,4,5,17,-,2,1,-,1,-,1,-
Sastre J.,TEN,20,3,1,23:12,8,9,4,4,4,5,-,-,10,-,3,4,-,-,-,1,-
Pasecniks A.,PAL,17,5,2,24:53,7,15,7,14,-,1,3,3,-20,4,1,2,-,-,1,2,-
Pineiro I.,PAL,14,1,-,26:30,7,12,7,9,-,3,-,-,-24,-,1,3,-,-,1,-,-
Van Der Vuurst K.,PAL,12,1,8,25:18,3,5,1,1,2,4,4,5,-16,-,1,3,1,3,-,-,-
Guerra F.,TEN,10,3,1,18:03,5,5,5,5,-,-,-,-,20,1,2,2,1,1,3,-,-
Huertas M.,TEN,10,4,11,28:00,4,10,2,7,2,3,-,-,16,-,4,1,2,5,-,-,-
Doornekamp A.,TEN,9,6,2,23:19,3,7,-,1,3,6,-,-,22,1,5,1,3,-,-,1,-
Shermadini G.,TEN,8,6,1,20:19,2,4,2,4,-,-,4,5,-4,1,5,2,-,-,1,-,-
Ubal A.,PAL,7,7,-,14:06,2,6,1,4,1,2,2,4,8,1,6,1,-,-,-,1,-
Fitipaldo B.,TEN,5,-,3,15:05,2,5,1,2,1,3,-,-,7,-,-,2,-,-,-,-,-
Frankamp C.,PAL,5,2,2,23:54,2,6,1,3,1,3,-,-,-4,-,2,-,1,1,-,-,-
Haarms M.,PAL,5,5,-,13:06,2,4,2,4,-,-,1,2,4,-,5,-,-,-,-,-,-
Kamba M.,PAL,3,1,2,19:48,1,3,-,1,1,2,-,-,-6,-,1,1,-,1,1,-,-
Ortega C.,PAL,3,1,-,17:48,1,3,-,-,1,3,-,-,-24,-,1,3,-,-,-,-,-
Abromaitis T.,TEN,2,1,2,15:12,1,5,1,3,-,2,-,-,-4,-,1,1,-,-,1,-,-
Benite V.,PAL,2,-,3,19:36,1,4,1,2,-,2,-,-,-13,-,-,3,1,-,-,-,-
Cook E.,TEN,-,5,3,14:08,-,4,-,2,-,2,-,-,15,1,4,3,-,1,-,-,-
Diop I.,TEN,-,1,-,01:38,-,1,-,1,-,-,-,-,5,1,-,-,-,-,-,-,-
Hands J.,PAL,-,6,-,15:01,-,3,-,3,-,-,-,-,-10,1,5,-,-,3,-,2,-
Salin S.,TEN,-,2,-,08:53,-,2,-,-,-,2,-,-,-2,1,1,1,-,-,-,-,-
Vicedo E.,TEN,-,-,1,01:29,-,1,-,-,-,1,-,-,3,-,-,-,1,-,-,-,-
